,score,abs_score,source,target
input->m0,-0.04220846,0.04220846,Node(input),Node(m0)
a0.h1->m0,0.020201832,0.020201832,Node(a0.h1),Node(m0)
a0.h5->m0,0.02047788,0.02047788,Node(a0.h5),Node(m0)
a0.h7->m0,0.07857503,0.07857503,Node(a0.h7),Node(m0)
a0.h10->m0,-0.03277409,0.03277409,Node(a0.h10),Node(m0)
a0.h11->m0,-0.01885698,0.01885698,Node(a0.h11),Node(m0)
a0.h15->m0,-0.054820143,0.054820143,Node(a0.h15),Node(m0)
input->a1.h3<v>,-0.033110972,0.033110972,Node(input),Node(a1.h3)
input->a1.h10<k>,0.021497231,0.021497231,Node(input),Node(a1.h10)
input->a1.h11<v>,0.02005011,0.02005011,Node(input),Node(a1.h11)
a0.h1->a1.h3<v>,0.02053281,0.02053281,Node(a0.h1),Node(a1.h3)
m0->a1.h10<q>,-0.017339325,0.017339325,Node(m0),Node(a1.h10)
a0.h1->m1,0.021584012,0.021584012,Node(a0.h1),Node(m1)
a1.h2->m1,0.035556875,0.035556875,Node(a1.h2),Node(m1)
a1.h3->m1,-0.035717588,0.035717588,Node(a1.h3),Node(m1)
a1.h14->m1,-0.031533014,0.031533014,Node(a1.h14),Node(m1)
m0->a2.h10<q>,0.016473457,0.016473457,Node(m0),Node(a2.h10)
m1->a2.h2<v>,0.025787711,0.025787711,Node(m1),Node(a2.h2)
m1->a2.h5<v>,-0.0195809,0.0195809,Node(m1),Node(a2.h5)
m1->a2.h8<q>,-0.021479413,0.021479413,Node(m1),Node(a2.h8)
a0.h1->m2,-0.025810808,0.025810808,Node(a0.h1),Node(m2)
m1->m2,0.16513507,0.16513507,Node(m1),Node(m2)
a2.h3->m2,0.018063083,0.018063083,Node(a2.h3),Node(m2)
a2.h6->m2,0.018541928,0.018541928,Node(a2.h6),Node(m2)
a2.h8->m2,-0.048871465,0.048871465,Node(a2.h8),Node(m2)
a2.h13->m2,0.017727342,0.017727342,Node(a2.h13),Node(m2)
a2.h15->m2,-0.033536777,0.033536777,Node(a2.h15),Node(m2)
m1->a3.h14<q>,0.015864786,0.015864786,Node(m1),Node(a3.h14)
m2->a3.h5<v>,0.019387065,0.019387065,Node(m2),Node(a3.h5)
m2->a3.h13<v>,-0.017197186,0.017197186,Node(m2),Node(a3.h13)
a0.h1->m3,-0.02167682,0.02167682,Node(a0.h1),Node(m3)
m0->m3,0.02452077,0.02452077,Node(m0),Node(m3)
a1.h2->m3,0.03148274,0.03148274,Node(a1.h2),Node(m3)
m1->m3,0.032445796,0.032445796,Node(m1),Node(m3)
m2->m3,0.073138855,0.073138855,Node(m2),Node(m3)
a3.h0->m3,-0.034777526,0.034777526,Node(a3.h0),Node(m3)
a3.h1->m3,-0.023083773,0.023083773,Node(a3.h1),Node(m3)
a3.h5->m3,0.020188723,0.020188723,Node(a3.h5),Node(m3)
a3.h14->m3,0.017659988,0.017659988,Node(a3.h14),Node(m3)
m2->a4.h11<v>,0.017991142,0.017991142,Node(m2),Node(a4.h11)
m3->a4.h8<v>,-0.019331109,0.019331109,Node(m3),Node(a4.h8)
m0->m4,-0.035775654,0.035775654,Node(m0),Node(m4)
m1->m4,-0.027135005,0.027135005,Node(m1),Node(m4)
a2.h5->m4,-0.020470466,0.020470466,Node(a2.h5),Node(m4)
m2->m4,0.04611954,0.04611954,Node(m2),Node(m4)
a3.h13->m4,0.019226793,0.019226793,Node(a3.h13),Node(m4)
m3->m4,-0.05982647,0.05982647,Node(m3),Node(m4)
a4.h11->m4,0.024610125,0.024610125,Node(a4.h11),Node(m4)
a4.h13->m4,0.0168972,0.0168972,Node(a4.h13),Node(m4)
a4.h15->m4,0.017537642,0.017537642,Node(a4.h15),Node(m4)
m3->a5.h14<v>,-0.01740221,0.01740221,Node(m3),Node(a5.h14)
a0.h1->m5,0.016665267,0.016665267,Node(a0.h1),Node(m5)
m0->m5,-0.030107323,0.030107323,Node(m0),Node(m5)
m1->m5,-0.027140623,0.027140623,Node(m1),Node(m5)
m2->m5,-0.020425882,0.020425882,Node(m2),Node(m5)
a3.h0->m5,0.037792258,0.037792258,Node(a3.h0),Node(m5)
a3.h5->m5,0.0212054,0.0212054,Node(a3.h5),Node(m5)
m3->m5,0.09490338,0.09490338,Node(m3),Node(m5)
a4.h2->m5,0.017634131,0.017634131,Node(a4.h2),Node(m5)
a4.h8->m5,0.02058158,0.02058158,Node(a4.h8),Node(m5)
a4.h15->m5,-0.016811073,0.016811073,Node(a4.h15),Node(m5)
m4->m5,-0.042805612,0.042805612,Node(m4),Node(m5)
a5.h9->m5,0.02234306,0.02234306,Node(a5.h9),Node(m5)
a5.h10->m5,0.019289931,0.019289931,Node(a5.h10),Node(m5)
m2->a6.h10<v>,0.020417336,0.020417336,Node(m2),Node(a6.h10)
m3->a6.h12<v>,-0.019581772,0.019581772,Node(m3),Node(a6.h12)
m5->a6.h0<q>,0.018167531,0.018167531,Node(m5),Node(a6.h0)
m5->a6.h4<v>,0.023442194,0.023442194,Node(m5),Node(a6.h4)
m5->a6.h10<v>,-0.037040606,0.037040606,Node(m5),Node(a6.h10)
m5->a6.h12<q>,0.016780265,0.016780265,Node(m5),Node(a6.h12)
m5->a6.h12<v>,0.01960247,0.01960247,Node(m5),Node(a6.h12)
m0->m6,-0.026700549,0.026700549,Node(m0),Node(m6)
m1->m6,0.043890327,0.043890327,Node(m1),Node(m6)
a2.h14->m6,-0.024435945,0.024435945,Node(a2.h14),Node(m6)
m2->m6,0.02440814,0.02440814,Node(m2),Node(m6)
a3.h13->m6,-0.018635048,0.018635048,Node(a3.h13),Node(m6)
a4.h8->m6,0.018644348,0.018644348,Node(a4.h8),Node(m6)
a4.h15->m6,-0.01831191,0.01831191,Node(a4.h15),Node(m6)
m4->m6,0.042921774,0.042921774,Node(m4),Node(m6)
a5.h5->m6,0.020987693,0.020987693,Node(a5.h5),Node(m6)
a5.h8->m6,0.02068659,0.02068659,Node(a5.h8),Node(m6)
m5->m6,0.07160967,0.07160967,Node(m5),Node(m6)
a6.h0->m6,0.028700322,0.028700322,Node(a6.h0),Node(m6)
a6.h1->m6,0.020585928,0.020585928,Node(a6.h1),Node(m6)
a6.h2->m6,0.022912279,0.022912279,Node(a6.h2),Node(m6)
a6.h4->m6,-0.02798774,0.02798774,Node(a6.h4),Node(m6)
a6.h12->m6,0.053834073,0.053834073,Node(a6.h12),Node(m6)
a6.h14->m6,0.023637552,0.023637552,Node(a6.h14),Node(m6)
m3->a7.h6<k>,0.022167213,0.022167213,Node(m3),Node(a7.h6)
m5->a7.h6<q>,-0.018985853,0.018985853,Node(m5),Node(a7.h6)
