,score,abs_score,source,target
input->m0,-0.03981507,0.03981507,Node(input),Node(m0)
a0.h1->m0,0.056519985,0.056519985,Node(a0.h1),Node(m0)
a0.h10->m0,0.03638149,0.03638149,Node(a0.h10),Node(m0)
a0.h11->m0,0.022017723,0.022017723,Node(a0.h11),Node(m0)
a0.h15->m0,-0.05802734,0.05802734,Node(a0.h15),Node(m0)
input->a1.h2<v>,-0.029049505,0.029049505,Node(input),Node(a1.h2)
m0->a1.h3<v>,0.028700218,0.028700218,Node(m0),Node(a1.h3)
m0->a1.h10<v>,-0.021781508,0.021781508,Node(m0),Node(a1.h10)
input->m1,0.07665105,0.07665105,Node(input),Node(m1)
a0.h10->m1,0.027895307,0.027895307,Node(a0.h10),Node(m1)
m0->m1,-0.02854104,0.02854104,Node(m0),Node(m1)
a1.h8->m1,0.02839538,0.02839538,Node(a1.h8),Node(m1)
a1.h12->m1,-0.024566233,0.024566233,Node(a1.h12),Node(m1)
m0->a2.h10<q>,-0.026797486,0.026797486,Node(m0),Node(a2.h10)
m1->a2.h10<q>,-0.042343937,0.042343937,Node(m1),Node(a2.h10)
m1->m2,-0.03744277,0.03744277,Node(m1),Node(m2)
a2.h5->m2,0.055902943,0.055902943,Node(a2.h5),Node(m2)
m2->a3.h5<v>,0.023258692,0.023258692,Node(m2),Node(a3.h5)
m1->m3,0.044426374,0.044426374,Node(m1),Node(m3)
m2->m3,0.041906692,0.041906692,Node(m2),Node(m3)
a3.h0->m3,-0.0229114,0.0229114,Node(a3.h0),Node(m3)
m2->a4.h11<k>,-0.022362895,0.022362895,Node(m2),Node(a4.h11)
a3.h2->m4,0.021528162,0.021528162,Node(a3.h2),Node(m4)
a3.h13->m4,-0.02332611,0.02332611,Node(a3.h13),Node(m4)
m3->m4,-0.049542755,0.049542755,Node(m3),Node(m4)
m3->a5.h3<k>,0.022180295,0.022180295,Node(m3),Node(a5.h3)
m0->m5,-0.048014343,0.048014343,Node(m0),Node(m5)
m1->m5,-0.031016957,0.031016957,Node(m1),Node(m5)
m2->m5,-0.040852726,0.040852726,Node(m2),Node(m5)
a3.h0->m5,0.036023006,0.036023006,Node(a3.h0),Node(m5)
m3->m5,-0.102293596,0.102293596,Node(m3),Node(m5)
a4.h15->m5,0.024373649,0.024373649,Node(a4.h15),Node(m5)
m4->m5,-0.051021438,0.051021438,Node(m4),Node(m5)
a5.h3->m5,-0.024670942,0.024670942,Node(a5.h3),Node(m5)
a5.h5->m5,0.024929171,0.024929171,Node(a5.h5),Node(m5)
a5.h6->m5,-0.026659735,0.026659735,Node(a5.h6),Node(m5)
a5.h10->m5,0.03663888,0.03663888,Node(a5.h10),Node(m5)
a5.h11->m5,0.038855053,0.038855053,Node(a5.h11),Node(m5)
m5->a6.h10<q>,0.021726934,0.021726934,Node(m5),Node(a6.h10)
m5->a6.h10<v>,-0.040914536,0.040914536,Node(m5),Node(a6.h10)
m5->a6.h12<v>,0.023069387,0.023069387,Node(m5),Node(a6.h12)
input->m6,0.02289561,0.02289561,Node(input),Node(m6)
m1->m6,0.07245659,0.07245659,Node(m1),Node(m6)
m2->m6,0.0666729,0.0666729,Node(m2),Node(m6)
a3.h0->m6,0.025840323,0.025840323,Node(a3.h0),Node(m6)
a3.h13->m6,0.027021391,0.027021391,Node(a3.h13),Node(m6)
m3->m6,0.025111482,0.025111482,Node(m3),Node(m6)
m4->m6,-0.059309997,0.059309997,Node(m4),Node(m6)
m5->m6,-0.15208286,0.15208286,Node(m5),Node(m6)
a6.h4->m6,0.024447959,0.024447959,Node(a6.h4),Node(m6)
a6.h10->m6,-0.037373878,0.037373878,Node(a6.h10),Node(m6)
a6.h12->m6,-0.07726196,0.07726196,Node(a6.h12),Node(m6)
m5->a7.h1<q>,-0.03765419,0.03765419,Node(m5),Node(a7.h1)
m6->a7.h1<v>,0.024177149,0.024177149,Node(m6),Node(a7.h1)
m2->m7,0.03380992,0.03380992,Node(m2),Node(m7)
m3->m7,-0.042457562,0.042457562,Node(m3),Node(m7)
a4.h11->m7,-0.025510129,0.025510129,Node(a4.h11),Node(m7)
m4->m7,-0.037745945,0.037745945,Node(m4),Node(m7)
m5->m7,0.1391809,0.1391809,Node(m5),Node(m7)
a6.h0->m7,0.058389615,0.058389615,Node(a6.h0),Node(m7)
a6.h1->m7,0.02822817,0.02822817,Node(a6.h1),Node(m7)
a6.h12->m7,0.052722793,0.052722793,Node(a6.h12),Node(m7)
a6.h15->m7,-0.02376452,0.02376452,Node(a6.h15),Node(m7)
a7.h1->m7,-0.09475769,0.09475769,Node(a7.h1),Node(m7)
a7.h3->m7,-0.024048734,0.024048734,Node(a7.h3),Node(m7)
a7.h6->m7,0.026927372,0.026927372,Node(a7.h6),Node(m7)
a7.h8->m7,0.021622818,0.021622818,Node(a7.h8),Node(m7)
a7.h12->m7,0.025891118,0.025891118,Node(a7.h12),Node(m7)
a7.h15->m7,-0.025773799,0.025773799,Node(a7.h15),Node(m7)
m1->a8.h12<k>,-0.021728706,0.021728706,Node(m1),Node(a8.h12)
m7->a8.h1<v>,-0.024351794,0.024351794,Node(m7),Node(a8.h1)
m7->a8.h12<k>,-0.024296522,0.024296522,Node(m7),Node(a8.h12)
m0->m8,-0.026639855,0.026639855,Node(m0),Node(m8)
