,score,abs_score,source,target
input->m0,-0.29169387,0.29169387,Node(input),Node(m0)
a0.h1->m0,0.13814463,0.13814463,Node(a0.h1),Node(m0)
a0.h2->m0,0.030244982,0.030244982,Node(a0.h2),Node(m0)
a0.h4->m0,0.023831448,0.023831448,Node(a0.h4),Node(m0)
a0.h7->m0,0.041279558,0.041279558,Node(a0.h7),Node(m0)
a0.h10->m0,0.026188394,0.026188394,Node(a0.h10),Node(m0)
input->a1.h2<v>,-0.030689463,0.030689463,Node(input),Node(a1.h2)
input->a1.h5<v>,-0.03641664,0.03641664,Node(input),Node(a1.h5)
input->a1.h10<v>,0.022171605,0.022171605,Node(input),Node(a1.h10)
input->a1.h14<v>,0.027909026,0.027909026,Node(input),Node(a1.h14)
m0->a1.h12<q>,-0.028931765,0.028931765,Node(m0),Node(a1.h12)
input->m1,-0.032927014,0.032927014,Node(input),Node(m1)
a0.h1->m1,0.04305277,0.04305277,Node(a0.h1),Node(m1)
m0->m1,-0.0948088,0.0948088,Node(m0),Node(m1)
a1.h2->m1,-0.053997725,0.053997725,Node(a1.h2),Node(m1)
a1.h4->m1,0.024221629,0.024221629,Node(a1.h4),Node(m1)
m1->a2.h8<q>,-0.030760739,0.030760739,Node(m1),Node(a2.h8)
m0->m2,-0.07969351,0.07969351,Node(m0),Node(m2)
a1.h3->m2,0.022979176,0.022979176,Node(a1.h3),Node(m2)
a1.h14->m2,-0.024195742,0.024195742,Node(a1.h14),Node(m2)
a2.h3->m2,0.036160868,0.036160868,Node(a2.h3),Node(m2)
a2.h5->m2,0.034172863,0.034172863,Node(a2.h5),Node(m2)
a2.h6->m2,0.026364353,0.026364353,Node(a2.h6),Node(m2)
a2.h10->m2,0.035086364,0.035086364,Node(a2.h10),Node(m2)
a2.h14->m2,0.036248934,0.036248934,Node(a2.h14),Node(m2)
m0->a3.h1<q>,0.022961503,0.022961503,Node(m0),Node(a3.h1)
m1->a3.h1<k>,-0.025789578,0.025789578,Node(m1),Node(a3.h1)
m2->a3.h0<v>,-0.022786021,0.022786021,Node(m2),Node(a3.h0)
m2->a3.h4<v>,0.022708919,0.022708919,Node(m2),Node(a3.h4)
m2->a3.h5<q>,0.025621977,0.025621977,Node(m2),Node(a3.h5)
m2->a3.h13<v>,0.03712687,0.03712687,Node(m2),Node(a3.h13)
m1->m3,-0.09377764,0.09377764,Node(m1),Node(m3)
a2.h5->m3,0.023599496,0.023599496,Node(a2.h5),Node(m3)
m2->m3,0.08569528,0.08569528,Node(m2),Node(m3)
a3.h1->m3,0.04312953,0.04312953,Node(a3.h1),Node(m3)
a3.h2->m3,-0.027336594,0.027336594,Node(a3.h2),Node(m3)
m2->a4.h11<v>,0.02659235,0.02659235,Node(m2),Node(a4.h11)
m3->a4.h13<q>,0.027054755,0.027054755,Node(m3),Node(a4.h13)
m1->m4,-0.08445114,0.08445114,Node(m1),Node(m4)
a2.h3->m4,-0.02428524,0.02428524,Node(a2.h3),Node(m4)
a2.h14->m4,-0.032572325,0.032572325,Node(a2.h14),Node(m4)
m2->m4,0.052496515,0.052496515,Node(m2),Node(m4)
a3.h14->m4,0.032603707,0.032603707,Node(a3.h14),Node(m4)
m3->m4,-0.061422907,0.061422907,Node(m3),Node(m4)
a4.h9->m4,-0.031130757,0.031130757,Node(a4.h9),Node(m4)
m1->a5.h3<v>,-0.0317809,0.0317809,Node(m1),Node(a5.h3)
a0.h1->m5,0.027625872,0.027625872,Node(a0.h1),Node(m5)
m0->m5,-0.022402719,0.022402719,Node(m0),Node(m5)
a2.h3->m5,-0.030859873,0.030859873,Node(a2.h3),Node(m5)
m2->m5,0.04142897,0.04142897,Node(m2),Node(m5)
a3.h1->m5,0.034394518,0.034394518,Node(a3.h1),Node(m5)
m3->m5,0.045547605,0.045547605,Node(m3),Node(m5)
a4.h9->m5,0.04213725,0.04213725,Node(a4.h9),Node(m5)
a4.h11->m5,0.025197346,0.025197346,Node(a4.h11),Node(m5)
a4.h15->m5,0.025949374,0.025949374,Node(a4.h15),Node(m5)
m4->m5,-0.12964444,0.12964444,Node(m4),Node(m5)
a5.h3->m5,-0.031689312,0.031689312,Node(a5.h3),Node(m5)
a5.h10->m5,-0.027667888,0.027667888,Node(a5.h10),Node(m5)
a5.h11->m5,-0.02576397,0.02576397,Node(a5.h11),Node(m5)
a5.h14->m5,-0.022555858,0.022555858,Node(a5.h14),Node(m5)
m5->a6.h4<v>,0.034729645,0.034729645,Node(m5),Node(a6.h4)
m5->a6.h5<v>,-0.027000366,0.027000366,Node(m5),Node(a6.h5)
m5->a6.h10<v>,-0.036080673,0.036080673,Node(m5),Node(a6.h10)
m5->a6.h15<k>,-0.022711914,0.022711914,Node(m5),Node(a6.h15)
m0->m6,0.037073012,0.037073012,Node(m0),Node(m6)
m1->m6,0.026986912,0.026986912,Node(m1),Node(m6)
a2.h8->m6,-0.02313426,0.02313426,Node(a2.h8),Node(m6)
a2.h14->m6,-0.057717003,0.057717003,Node(a2.h14),Node(m6)
a3.h1->m6,-0.035371274,0.035371274,Node(a3.h1),Node(m6)
a3.h5->m6,0.024539888,0.024539888,Node(a3.h5),Node(m6)
a3.h13->m6,0.02349598,0.02349598,Node(a3.h13),Node(m6)
m3->m6,0.10071576,0.10071576,Node(m3),Node(m6)
a4.h9->m6,-0.029508313,0.029508313,Node(a4.h9),Node(m6)
a4.h11->m6,-0.03179963,0.03179963,Node(a4.h11),Node(m6)
a4.h15->m6,-0.025529843,0.025529843,Node(a4.h15),Node(m6)
m5->m6,-0.04470755,0.04470755,Node(m5),Node(m6)
a6.h0->m6,0.13983607,0.13983607,Node(a6.h0),Node(m6)
a6.h4->m6,-0.07377994,0.07377994,Node(a6.h4),Node(m6)
a6.h5->m6,-0.052499436,0.052499436,Node(a6.h5),Node(m6)
a6.h9->m6,-0.027231567,0.027231567,Node(a6.h9),Node(m6)
a6.h12->m6,0.056063548,0.056063548,Node(a6.h12),Node(m6)
a6.h14->m6,0.040506404,0.040506404,Node(a6.h14),Node(m6)
a6.h15->m6,-0.0433031,0.0433031,Node(a6.h15),Node(m6)
m3->a7.h8<q>,-0.027762972,0.027762972,Node(m3),Node(a7.h8)
m4->a7.h6<v>,0.03318479,0.03318479,Node(m4),Node(a7.h6)
m5->a7.h3<q>,-0.02464386,0.02464386,Node(m5),Node(a7.h3)
m5->a7.h6<v>,0.06655174,0.06655174,Node(m5),Node(a7.h6)
