,score,abs_score,source,target
input->m0,-0.29868343,0.29868343,Node(input),Node(m0)
a0.h1->m0,0.1538688,0.1538688,Node(a0.h1),Node(m0)
a0.h3->m0,-0.034175146,0.034175146,Node(a0.h3),Node(m0)
a0.h4->m0,0.02504848,0.02504848,Node(a0.h4),Node(m0)
a0.h7->m0,0.07494593,0.07494593,Node(a0.h7),Node(m0)
a0.h8->m0,0.04686801,0.04686801,Node(a0.h8),Node(m0)
a0.h10->m0,-0.087004855,0.087004855,Node(a0.h10),Node(m0)
a0.h15->m0,0.023343384,0.023343384,Node(a0.h15),Node(m0)
input->a1.h2<v>,-0.030476255,0.030476255,Node(input),Node(a1.h2)
input->a1.h3<v>,-0.036278598,0.036278598,Node(input),Node(a1.h3)
input->a1.h6<v>,-0.022985391,0.022985391,Node(input),Node(a1.h6)
input->a1.h11<v>,0.045316916,0.045316916,Node(input),Node(a1.h11)
m0->a1.h2<q>,-0.022859372,0.022859372,Node(m0),Node(a1.h2)
m0->a1.h3<v>,0.028056607,0.028056607,Node(m0),Node(a1.h3)
m0->a1.h6<q>,0.02375992,0.02375992,Node(m0),Node(a1.h6)
m0->a1.h10<q>,-0.024248257,0.024248257,Node(m0),Node(a1.h10)
m0->a1.h11<q>,-0.039416246,0.039416246,Node(m0),Node(a1.h11)
m0->a1.h11<k>,-0.0240031,0.0240031,Node(m0),Node(a1.h11)
m0->a1.h11<v>,-0.028351206,0.028351206,Node(m0),Node(a1.h11)
m0->a1.h12<q>,-0.03967946,0.03967946,Node(m0),Node(a1.h12)
m0->a1.h12<v>,-0.0252891,0.0252891,Node(m0),Node(a1.h12)
a0.h1->m1,0.046231233,0.046231233,Node(a0.h1),Node(m1)
a0.h10->m1,0.03438752,0.03438752,Node(a0.h10),Node(m1)
m0->m1,-0.06700891,0.06700891,Node(m0),Node(m1)
a1.h1->m1,-0.03509771,0.03509771,Node(a1.h1),Node(m1)
a1.h2->m1,-0.051058494,0.051058494,Node(a1.h2),Node(m1)
a1.h5->m1,0.02189852,0.02189852,Node(a1.h5),Node(m1)
a1.h7->m1,0.023169613,0.023169613,Node(a1.h7),Node(m1)
a1.h8->m1,0.031019246,0.031019246,Node(a1.h8),Node(m1)
a1.h9->m1,-0.029706731,0.029706731,Node(a1.h9),Node(m1)
a1.h10->m1,-0.026734663,0.026734663,Node(a1.h10),Node(m1)
a1.h11->m1,-0.04118944,0.04118944,Node(a1.h11),Node(m1)
a1.h12->m1,-0.10093753,0.10093753,Node(a1.h12),Node(m1)
a1.h15->m1,0.023194304,0.023194304,Node(a1.h15),Node(m1)
m0->a2.h10<q>,0.021838471,0.021838471,Node(m0),Node(a2.h10)
m0->a2.h14<k>,0.0235951,0.0235951,Node(m0),Node(a2.h14)
m1->a2.h5<v>,-0.02737274,0.02737274,Node(m1),Node(a2.h5)
m1->a2.h6<v>,-0.022920547,0.022920547,Node(m1),Node(a2.h6)
a0.h1->m2,-0.022112539,0.022112539,Node(a0.h1),Node(m2)
a1.h5->m2,-0.022696367,0.022696367,Node(a1.h5),Node(m2)
a1.h14->m2,-0.02229764,0.02229764,Node(a1.h14),Node(m2)
a2.h4->m2,0.024372276,0.024372276,Node(a2.h4),Node(m2)
a2.h8->m2,0.022547036,0.022547036,Node(a2.h8),Node(m2)
a2.h14->m2,0.0638832,0.0638832,Node(a2.h14),Node(m2)
a2.h15->m2,0.02657596,0.02657596,Node(a2.h15),Node(m2)
m1->a3.h4<q>,-0.02563691,0.02563691,Node(m1),Node(a3.h4)
a2.h10->a3.h14<v>,0.024212305,0.024212305,Node(a2.h10),Node(a3.h14)
m2->a3.h0<v>,-0.02164428,0.02164428,Node(m2),Node(a3.h0)
m2->a3.h5<q>,0.036902495,0.036902495,Node(m2),Node(a3.h5)
m2->a3.h5<k>,0.02876012,0.02876012,Node(m2),Node(a3.h5)
m2->a3.h5<v>,0.031570386,0.031570386,Node(m2),Node(a3.h5)
m2->a3.h14<q>,0.026602011,0.026602011,Node(m2),Node(a3.h14)
a0.h1->m3,0.022511706,0.022511706,Node(a0.h1),Node(m3)
m0->m3,-0.04948899,0.04948899,Node(m0),Node(m3)
m1->m3,-0.022460029,0.022460029,Node(m1),Node(m3)
m2->m3,0.12668847,0.12668847,Node(m2),Node(m3)
a3.h0->m3,-0.040995587,0.040995587,Node(a3.h0),Node(m3)
a3.h1->m3,-0.031029508,0.031029508,Node(a3.h1),Node(m3)
a3.h8->m3,-0.031945895,0.031945895,Node(a3.h8),Node(m3)
a3.h14->m3,0.031573772,0.031573772,Node(a3.h14),Node(m3)
m3->a4.h6<q>,-0.023732295,0.023732295,Node(m3),Node(a4.h6)
m3->a4.h11<k>,-0.023445863,0.023445863,Node(m3),Node(a4.h11)
m3->a4.h13<q>,0.023099467,0.023099467,Node(m3),Node(a4.h13)
m0->m4,0.023619186,0.023619186,Node(m0),Node(m4)
a2.h5->m4,-0.029930364,0.029930364,Node(a2.h5),Node(m4)
m2->m4,0.06665334,0.06665334,Node(m2),Node(m4)
m3->m4,-0.15132898,0.15132898,Node(m3),Node(m4)
a4.h8->m4,-0.030418545,0.030418545,Node(a4.h8),Node(m4)
a4.h9->m4,-0.028352212,0.028352212,Node(a4.h9),Node(m4)
a4.h15->m4,-0.028036702,0.028036702,Node(a4.h15),Node(m4)
a0.h1->m5,0.028764784,0.028764784,Node(a0.h1),Node(m5)
m0->m5,-0.05685411,0.05685411,Node(m0),Node(m5)
m2->m5,-0.04511225,0.04511225,Node(m2),Node(m5)
a3.h1->m5,0.035473567,0.035473567,Node(a3.h1),Node(m5)
a3.h13->m5,-0.024698902,0.024698902,Node(a3.h13),Node(m5)
m3->m5,0.053817146,0.053817146,Node(m3),Node(m5)
a4.h13->m5,0.03365799,0.03365799,Node(a4.h13),Node(m5)
a4.h15->m5,-0.023550976,0.023550976,Node(a4.h15),Node(m5)
a5.h3->m5,-0.039223153,0.039223153,Node(a5.h3),Node(m5)
a5.h4->m5,0.024299486,0.024299486,Node(a5.h4),Node(m5)
m5->a6.h0<v>,-0.037512407,0.037512407,Node(m5),Node(a6.h0)
m5->a6.h5<q>,-0.029744193,0.029744193,Node(m5),Node(a6.h5)
m5->a6.h12<v>,0.03958247,0.03958247,Node(m5),Node(a6.h12)
m1->m6,0.044681396,0.044681396,Node(m1),Node(m6)
a2.h3->m6,0.025291242,0.025291242,Node(a2.h3),Node(m6)
m2->m6,0.057884872,0.057884872,Node(m2),Node(m6)
a3.h5->m6,0.023124367,0.023124367,Node(a3.h5),Node(m6)
m3->m6,-0.024703104,0.024703104,Node(m3),Node(m6)
a4.h11->m6,-0.034499228,0.034499228,Node(a4.h11),Node(m6)
m4->m6,-0.026387721,0.026387721,Node(m4),Node(m6)
a5.h3->m6,-0.033789136,0.033789136,Node(a5.h3),Node(m6)
a6.h0->m6,0.04417035,0.04417035,Node(a6.h0),Node(m6)
a6.h4->m6,-0.0422652,0.0422652,Node(a6.h4),Node(m6)
a6.h5->m6,-0.024590408,0.024590408,Node(a6.h5),Node(m6)
a6.h10->m6,-0.023798129,0.023798129,Node(a6.h10),Node(m6)
a6.h12->m6,0.032010518,0.032010518,Node(a6.h12),Node(m6)
a6.h13->m6,0.029396042,0.029396042,Node(a6.h13),Node(m6)
m3->a7.h6<k>,0.026872467,0.026872467,Node(m3),Node(a7.h6)
m3->a7.h6<v>,0.034153186,0.034153186,Node(m3),Node(a7.h6)
m5->a7.h6<q>,-0.028671425,0.028671425,Node(m5),Node(a7.h6)
a6.h10->a7.h6<k>,-0.02165193,0.02165193,Node(a6.h10),Node(a7.h6)
m6->a7.h8<k>,0.0323245,0.0323245,Node(m6),Node(a7.h8)
m1->m7,-0.0321021,0.0321021,Node(m1),Node(m7)
m2->m7,0.0413142,0.0413142,Node(m2),Node(m7)
m3->m7,-0.057537194,0.057537194,Node(m3),Node(m7)
a4.h2->m7,0.022770545,0.022770545,Node(a4.h2),Node(m7)
a4.h11->m7,-0.027057216,0.027057216,Node(a4.h11),Node(m7)
m5->m7,0.05777408,0.05777408,Node(m5),Node(m7)
a7.h1->m7,-0.02571009,0.02571009,Node(a7.h1),Node(m7)
a7.h6->m7,-0.03810142,0.03810142,Node(a7.h6),Node(m7)
a7.h7->m7,0.036730826,0.036730826,Node(a7.h7),Node(m7)
a7.h15->m7,0.02390503,0.02390503,Node(a7.h15),Node(m7)
m5->a8.h10<v>,0.031398483,0.031398483,Node(m5),Node(a8.h10)
m6->a8.h10<v>,-0.027406022,0.027406022,Node(m6),Node(a8.h10)
a7.h2->a8.h3<v>,-0.022136074,0.022136074,Node(a7.h2),Node(a8.h3)
m7->a8.h3<v>,0.02628724,0.02628724,Node(m7),Node(a8.h3)
m0->m8,-0.036852956,0.036852956,Node(m0),Node(m8)
a2.h14->m8,0.040610522,0.040610522,Node(a2.h14),Node(m8)
m2->m8,-0.034341656,0.034341656,Node(m2),Node(m8)
a3.h13->m8,-0.024404403,0.024404403,Node(a3.h13),Node(m8)
m3->m8,0.027403837,0.027403837,Node(m3),Node(m8)
m4->m8,-0.06886776,0.06886776,Node(m4),Node(m8)
a5.h4->m8,0.023569247,0.023569247,Node(a5.h4),Node(m8)
a5.h5->m8,0.035016812,0.035016812,Node(a5.h5),Node(m8)
m5->m8,-0.023520969,0.023520969,Node(m5),Node(m8)
a6.h9->m8,0.022620238,0.022620238,Node(a6.h9),Node(m8)
a6.h15->m8,0.030569008,0.030569008,Node(a6.h15),Node(m8)
m6->m8,-0.15036383,0.15036383,Node(m6),Node(m8)
a7.h1->m8,-0.056366853,0.056366853,Node(a7.h1),Node(m8)
a7.h2->m8,0.07407988,0.07407988,Node(a7.h2),Node(m8)
a7.h3->m8,-0.039021894,0.039021894,Node(a7.h3),Node(m8)
a7.h6->m8,0.03680172,0.03680172,Node(a7.h6),Node(m8)
a7.h8->m8,0.06330535,0.06330535,Node(a7.h8),Node(m8)
a7.h12->m8,0.023814809,0.023814809,Node(a7.h12),Node(m8)
a8.h0->m8,0.06661849,0.06661849,Node(a8.h0),Node(m8)
a8.h1->m8,0.036437154,0.036437154,Node(a8.h1),Node(m8)
a8.h2->m8,0.043716,0.043716,Node(a8.h2),Node(m8)
a8.h3->m8,-0.062068194,0.062068194,Node(a8.h3),Node(m8)
a8.h4->m8,0.029591888,0.029591888,Node(a8.h4),Node(m8)
a8.h5->m8,0.03298416,0.03298416,Node(a8.h5),Node(m8)
a8.h8->m8,-0.09299861,0.09299861,Node(a8.h8),Node(m8)
a8.h10->m8,0.13253827,0.13253827,Node(a8.h10),Node(m8)
a8.h12->m8,0.023278993,0.023278993,Node(a8.h12),Node(m8)
a8.h13->m8,0.021821853,0.021821853,Node(a8.h13),Node(m8)
m3->a9.h7<v>,-0.02399313,0.02399313,Node(m3),Node(a9.h7)
m6->a9.h5<k>,0.03290399,0.03290399,Node(m6),Node(a9.h5)
m6->a9.h15<v>,0.024866257,0.024866257,Node(m6),Node(a9.h15)
a7.h1->a9.h5<q>,0.03071018,0.03071018,Node(a7.h1),Node(a9.h5)
a7.h2->a9.h7<v>,0.027163744,0.027163744,Node(a7.h2),Node(a9.h7)
m7->a9.h1<v>,-0.030421995,0.030421995,Node(m7),Node(a9.h1)
m7->a9.h5<q>,-0.034160204,0.034160204,Node(m7),Node(a9.h5)
m7->a9.h5<k>,-0.021693215,0.021693215,Node(m7),Node(a9.h5)
m7->a9.h7<q>,0.029698506,0.029698506,Node(m7),Node(a9.h7)
a8.h8->a9.h5<q>,0.05947861,0.05947861,Node(a8.h8),Node(a9.h5)
a8.h8->a9.h5<k>,0.03912296,0.03912296,Node(a8.h8),Node(a9.h5)
a8.h8->a9.h7<q>,-0.023286333,0.023286333,Node(a8.h8),Node(a9.h7)
a8.h8->a9.h7<v>,-0.03108937,0.03108937,Node(a8.h8),Node(a9.h7)
a8.h10->a9.h15<v>,-0.036310405,0.036310405,Node(a8.h10),Node(a9.h15)
a4.h2->m9,0.02521271,0.02521271,Node(a4.h2),Node(m9)
m4->m9,-0.037158918,0.037158918,Node(m4),Node(m9)
a5.h3->m9,-0.021768853,0.021768853,Node(a5.h3),Node(m9)
m5->m9,0.060869478,0.060869478,Node(m5),Node(m9)
a6.h0->m9,-0.064782485,0.064782485,Node(a6.h0),Node(m9)
a6.h10->m9,-0.03057931,0.03057931,Node(a6.h10),Node(m9)
m6->m9,0.049922116,0.049922116,Node(m6),Node(m9)
a7.h6->m9,-0.02768176,0.02768176,Node(a7.h6),Node(m9)
m7->m9,-0.08003407,0.08003407,Node(m7),Node(m9)
a8.h1->m9,-0.022176286,0.022176286,Node(a8.h1),Node(m9)
a8.h3->m9,0.029638104,0.029638104,Node(a8.h3),Node(m9)
a8.h9->m9,0.028664198,0.028664198,Node(a8.h9),Node(m9)
a8.h10->m9,-0.06820543,0.06820543,Node(a8.h10),Node(m9)
m8->m9,0.29988635,0.29988635,Node(m8),Node(m9)
a9.h7->m9,0.036595017,0.036595017,Node(a9.h7),Node(m9)
a9.h8->m9,-0.03110329,0.03110329,Node(a9.h8),Node(m9)
a9.h10->m9,0.04211773,0.04211773,Node(a9.h10),Node(m9)
a9.h11->m9,0.039922144,0.039922144,Node(a9.h11),Node(m9)
a9.h15->m9,-0.058175176,0.058175176,Node(a9.h15),Node(m9)
m8->a10.h12<v>,-0.023860816,0.023860816,Node(m8),Node(a10.h12)
m8->a10.h15<v>,-0.03205695,0.03205695,Node(m8),Node(a10.h15)
a9.h1->a10.h8<v>,0.024364388,0.024364388,Node(a9.h1),Node(a10.h8)
m9->a10.h4<q>,0.02539248,0.02539248,Node(m9),Node(a10.h4)
m9->a10.h8<v>,-0.030929636,0.030929636,Node(m9),Node(a10.h8)
m1->m10,0.030706499,0.030706499,Node(m1),Node(m10)
m2->m10,0.026514402,0.026514402,Node(m2),Node(m10)
m3->m10,-0.03262338,0.03262338,Node(m3),Node(m10)
m5->m10,-0.058808498,0.058808498,Node(m5),Node(m10)
a6.h3->m10,-0.027457517,0.027457517,Node(a6.h3),Node(m10)
m6->m10,-0.06428973,0.06428973,Node(m6),Node(m10)
m7->m10,0.09110975,0.09110975,Node(m7),Node(m10)
a8.h13->m10,0.023245435,0.023245435,Node(a8.h13),Node(m10)
m8->m10,-0.12786731,0.12786731,Node(m8),Node(m10)
a9.h2->m10,-0.038374346,0.038374346,Node(a9.h2),Node(m10)
a9.h5->m10,-0.03837373,0.03837373,Node(a9.h5),Node(m10)
a9.h6->m10,0.034104973,0.034104973,Node(a9.h6),Node(m10)
a9.h14->m10,0.036158353,0.036158353,Node(a9.h14),Node(m10)
m9->m10,0.15756701,0.15756701,Node(m9),Node(m10)
a10.h7->m10,-0.02363154,0.02363154,Node(a10.h7),Node(m10)
a10.h10->m10,0.03203261,0.03203261,Node(a10.h10),Node(m10)
a10.h13->m10,-0.022741748,0.022741748,Node(a10.h13),Node(m10)
m7->a11.h7<v>,0.024744947,0.024744947,Node(m7),Node(a11.h7)
m8->a11.h7<q>,-0.027148455,0.027148455,Node(m8),Node(a11.h7)
m8->a11.h11<q>,0.027627021,0.027627021,Node(m8),Node(a11.h11)
a9.h7->a11.h15<q>,0.027771909,0.027771909,Node(a9.h7),Node(a11.h15)
m9->a11.h4<v>,0.04053077,0.04053077,Node(m9),Node(a11.h4)
m9->a11.h7<k>,0.02568711,0.02568711,Node(m9),Node(a11.h7)
m9->a11.h11<q>,-0.02652349,0.02652349,Node(m9),Node(a11.h11)
a10.h8->a11.h5<v>,-0.022478651,0.022478651,Node(a10.h8),Node(a11.h5)
a10.h8->a11.h15<q>,0.024209548,0.024209548,Node(a10.h8),Node(a11.h15)
a10.h8->a11.h15<v>,0.022271626,0.022271626,Node(a10.h8),Node(a11.h15)
m10->a11.h5<v>,0.022604357,0.022604357,Node(m10),Node(a11.h5)
m10->a11.h11<q>,0.02588522,0.02588522,Node(m10),Node(a11.h11)
m2->m11,-0.030257491,0.030257491,Node(m2),Node(m11)
m3->m11,0.044079896,0.044079896,Node(m3),Node(m11)
m4->m11,0.047055274,0.047055274,Node(m4),Node(m11)
m5->m11,0.075419515,0.075419515,Node(m5),Node(m11)
m6->m11,0.022718405,0.022718405,Node(m6),Node(m11)
a7.h6->m11,0.041105203,0.041105203,Node(a7.h6),Node(m11)
m7->m11,-0.07173456,0.07173456,Node(m7),Node(m11)
a8.h3->m11,-0.021648884,0.021648884,Node(a8.h3),Node(m11)
m8->m11,0.10394852,0.10394852,Node(m8),Node(m11)
