,score,abs_score,source,target
input->m0,-0.39529333,0.39529333,Node(input),Node(m0)
a0.h1->m0,0.17690885,0.17690885,Node(a0.h1),Node(m0)
a0.h7->m0,0.07436286,0.07436286,Node(a0.h7),Node(m0)
a0.h10->m0,0.18662986,0.18662986,Node(a0.h10),Node(m0)
input->a1.h2<q>,-0.029926661,0.029926661,Node(input),Node(a1.h2)
input->a1.h9<v>,0.03247798,0.03247798,Node(input),Node(a1.h9)
input->a1.h11<v>,0.03939987,0.03939987,Node(input),Node(a1.h11)
a0.h1->a1.h2<q>,0.03841235,0.03841235,Node(a0.h1),Node(a1.h2)
a0.h1->a1.h14<v>,-0.036129713,0.036129713,Node(a0.h1),Node(a1.h14)
m0->a1.h1<q>,0.029773265,0.029773265,Node(m0),Node(a1.h1)
m0->a1.h2<q>,-0.053577982,0.053577982,Node(m0),Node(a1.h2)
input->m1,-0.09422036,0.09422036,Node(input),Node(m1)
a0.h1->m1,0.058940645,0.058940645,Node(a0.h1),Node(m1)
m0->m1,-0.20366788,0.20366788,Node(m0),Node(m1)
a1.h2->m1,-0.044943072,0.044943072,Node(a1.h2),Node(m1)
a1.h3->m1,-0.04598829,0.04598829,Node(a1.h3),Node(m1)
a1.h4->m1,-0.04174226,0.04174226,Node(a1.h4),Node(m1)
a1.h5->m1,-0.03857416,0.03857416,Node(a1.h5),Node(m1)
a1.h12->m1,0.07190798,0.07190798,Node(a1.h12),Node(m1)
a1.h13->m1,-0.03952279,0.03952279,Node(a1.h13),Node(m1)
a1.h14->m1,-0.046052255,0.046052255,Node(a1.h14),Node(m1)
m0->a2.h14<k>,0.031402968,0.031402968,Node(m0),Node(a2.h14)
m1->a2.h4<q>,-0.039311565,0.039311565,Node(m1),Node(a2.h4)
m1->a2.h8<q>,-0.029321253,0.029321253,Node(m1),Node(a2.h8)
a0.h1->m2,-0.06532063,0.06532063,Node(a0.h1),Node(m2)
m0->m2,0.03713737,0.03713737,Node(m0),Node(m2)
a1.h2->m2,-0.065535724,0.065535724,Node(a1.h2),Node(m2)
a1.h12->m2,0.033701364,0.033701364,Node(a1.h12),Node(m2)
m1->m2,0.080690555,0.080690555,Node(m1),Node(m2)
a2.h3->m2,-0.04456471,0.04456471,Node(a2.h3),Node(m2)
a2.h5->m2,0.062468838,0.062468838,Node(a2.h5),Node(m2)
a2.h6->m2,0.031367265,0.031367265,Node(a2.h6),Node(m2)
a2.h14->m2,0.09130128,0.09130128,Node(a2.h14),Node(m2)
a2.h15->m2,0.032165878,0.032165878,Node(a2.h15),Node(m2)
m1->a3.h4<q>,-0.0316144,0.0316144,Node(m1),Node(a3.h4)
m2->a3.h1<v>,0.029763898,0.029763898,Node(m2),Node(a3.h1)
m1->m3,-0.122828946,0.122828946,Node(m1),Node(m3)
a2.h5->m3,0.039170202,0.039170202,Node(a2.h5),Node(m3)
a2.h8->m3,-0.029361492,0.029361492,Node(a2.h8),Node(m3)
