,score,abs_score,source,target
input->m0,-0.37953386,0.37953386,Node(input),Node(m0)
a0.h0->m0,-0.03501177,0.03501177,Node(a0.h0),Node(m0)
a0.h1->m0,0.14758307,0.14758307,Node(a0.h1),Node(m0)
a0.h4->m0,0.048899718,0.048899718,Node(a0.h4),Node(m0)
a0.h7->m0,0.06303342,0.06303342,Node(a0.h7),Node(m0)
a0.h8->m0,0.03501912,0.03501912,Node(a0.h8),Node(m0)
a0.h10->m0,-0.051532906,0.051532906,Node(a0.h10),Node(m0)
a0.h15->m0,0.053347178,0.053347178,Node(a0.h15),Node(m0)
input->a1.h2<q>,-0.03567664,0.03567664,Node(input),Node(a1.h2)
a0.h1->a1.h2<q>,0.0356258,0.0356258,Node(a0.h1),Node(a1.h2)
m0->a1.h2<q>,-0.04852272,0.04852272,Node(m0),Node(a1.h2)
m0->a1.h10<q>,-0.029238377,0.029238377,Node(m0),Node(a1.h10)
input->m1,-0.093602136,0.093602136,Node(input),Node(m1)
a0.h1->m1,0.047714166,0.047714166,Node(a0.h1),Node(m1)
a1.h2->m1,-0.07399822,0.07399822,Node(a1.h2),Node(m1)
a1.h3->m1,-0.056447707,0.056447707,Node(a1.h3),Node(m1)
a1.h5->m1,0.043957945,0.043957945,Node(a1.h5),Node(m1)
a1.h11->m1,-0.037075445,0.037075445,Node(a1.h11),Node(m1)
a1.h12->m1,-0.036501937,0.036501937,Node(a1.h12),Node(m1)
input->m2,-0.04160489,0.04160489,Node(input),Node(m2)
m0->m2,-0.09910971,0.09910971,Node(m0),Node(m2)
a1.h3->m2,0.03100477,0.03100477,Node(a1.h3),Node(m2)
a2.h5->m2,0.045478918,0.045478918,Node(a2.h5),Node(m2)
a2.h14->m2,0.033382967,0.033382967,Node(a2.h14),Node(m2)
a2.h15->m2,0.038359374,0.038359374,Node(a2.h15),Node(m2)
m2->a3.h0<v>,-0.041996084,0.041996084,Node(m2),Node(a3.h0)
m2->a3.h13<v>,0.032051224,0.032051224,Node(m2),Node(a3.h13)
m2->a3.h14<q>,0.029606566,0.029606566,Node(m2),Node(a3.h14)
m1->m3,-0.12576929,0.12576929,Node(m1),Node(m3)
a3.h1->m3,-0.032544233,0.032544233,Node(a3.h1),Node(m3)
m0->m4,-0.02974439,0.02974439,Node(m0),Node(m4)
m1->m4,-0.03578583,0.03578583,Node(m1),Node(m4)
m2->m4,0.041738816,0.041738816,Node(m2),Node(m4)
a3.h0->m4,0.02830955,0.02830955,Node(a3.h0),Node(m4)
m3->m4,-0.06276359,0.06276359,Node(m3),Node(m4)
m0->m5,-0.060452364,0.060452364,Node(m0),Node(m5)
a3.h1->m5,0.031321768,0.031321768,Node(a3.h1),Node(m5)
a3.h5->m5,0.030483913,0.030483913,Node(a3.h5),Node(m5)
a4.h13->m5,0.028611824,0.028611824,Node(a4.h13),Node(m5)
m4->m5,-0.03821784,0.03821784,Node(m4),Node(m5)
a5.h0->m5,-0.029956631,0.029956631,Node(a5.h0),Node(m5)
a5.h3->m5,-0.04598416,0.04598416,Node(a5.h3),Node(m5)
m5->a6.h12<k>,0.03170219,0.03170219,Node(m5),Node(a6.h12)
m5->a6.h14<v>,0.032087725,0.032087725,Node(m5),Node(a6.h14)
m1->m6,0.04623909,0.04623909,Node(m1),Node(m6)
m2->m6,0.10545154,0.10545154,Node(m2),Node(m6)
m3->m6,0.060215995,0.060215995,Node(m3),Node(m6)
a4.h9->m6,-0.03634234,0.03634234,Node(a4.h9),Node(m6)
a4.h15->m6,-0.036112543,0.036112543,Node(a4.h15),Node(m6)
m4->m6,0.042918876,0.042918876,Node(m4),Node(m6)
a5.h3->m6,-0.043482732,0.043482732,Node(a5.h3),Node(m6)
a5.h10->m6,-0.036403846,0.036403846,Node(a5.h10),Node(m6)
a6.h0->m6,0.092822455,0.092822455,Node(a6.h0),Node(m6)
a6.h4->m6,-0.08291985,0.08291985,Node(a6.h4),Node(m6)
a6.h6->m6,0.029053446,0.029053446,Node(a6.h6),Node(m6)
a6.h10->m6,-0.036193907,0.036193907,Node(a6.h10),Node(m6)
m5->a7.h3<q>,-0.03160254,0.03160254,Node(m5),Node(a7.h3)
m6->a7.h1<v>,-0.03816465,0.03816465,Node(m6),Node(a7.h1)
m6->a7.h6<v>,-0.029666178,0.029666178,Node(m6),Node(a7.h6)
a2.h14->m7,0.041769587,0.041769587,Node(a2.h14),Node(m7)
a3.h0->m7,-0.03243729,0.03243729,Node(a3.h0),Node(m7)
m3->m7,-0.0331394,0.0331394,Node(m3),Node(m7)
a5.h3->m7,-0.04145234,0.04145234,Node(a5.h3),Node(m7)
a5.h10->m7,0.03151102,0.03151102,Node(a5.h10),Node(m7)
a6.h0->m7,-0.03525144,0.03525144,Node(a6.h0),Node(m7)
a7.h2->m7,0.035516784,0.035516784,Node(a7.h2),Node(m7)
a7.h15->m7,0.02965172,0.02965172,Node(a7.h15),Node(m7)
m7->a8.h4<v>,-0.03859537,0.03859537,Node(m7),Node(a8.h4)
m3->m8,-0.08106373,0.08106373,Node(m3),Node(m8)
m4->m8,-0.038848296,0.038848296,Node(m4),Node(m8)
a5.h3->m8,-0.04481259,0.04481259,Node(a5.h3),Node(m8)
m5->m8,0.09523331,0.09523331,Node(m5),Node(m8)
a6.h12->m8,-0.032350443,0.032350443,Node(a6.h12),Node(m8)
a7.h1->m8,-0.031350426,0.031350426,Node(a7.h1),Node(m8)
a7.h2->m8,0.042807966,0.042807966,Node(a7.h2),Node(m8)
a7.h3->m8,-0.031209257,0.031209257,Node(a7.h3),Node(m8)
a7.h6->m8,0.09593313,0.09593313,Node(a7.h6),Node(m8)
a7.h8->m8,0.052707933,0.052707933,Node(a7.h8),Node(m8)
m7->m8,-0.054712966,0.054712966,Node(m7),Node(m8)
a8.h0->m8,0.05091317,0.05091317,Node(a8.h0),Node(m8)
a8.h1->m8,0.035898976,0.035898976,Node(a8.h1),Node(m8)
a8.h3->m8,-0.03440717,0.03440717,Node(a8.h3),Node(m8)
a8.h5->m8,0.029782653,0.029782653,Node(a8.h5),Node(m8)
a8.h8->m8,-0.071207695,0.071207695,Node(a8.h8),Node(m8)
a8.h9->m8,0.028130878,0.028130878,Node(a8.h9),Node(m8)
a8.h10->m8,0.06154292,0.06154292,Node(a8.h10),Node(m8)
a8.h8->a9.h7<v>,-0.031925727,0.031925727,Node(a8.h8),Node(a9.h7)
a8.h10->a9.h15<v>,-0.029500246,0.029500246,Node(a8.h10),Node(a9.h15)
m1->m9,-0.042081382,0.042081382,Node(m1),Node(m9)
m3->m9,-0.07528067,0.07528067,Node(m3),Node(m9)
a4.h2->m9,0.03723091,0.03723091,Node(a4.h2),Node(m9)
m4->m9,-0.10470146,0.10470146,Node(m4),Node(m9)
a6.h2->m9,0.0351187,0.0351187,Node(a6.h2),Node(m9)
a6.h5->m9,0.031582188,0.031582188,Node(a6.h5),Node(m9)
a6.h10->m9,-0.042094655,0.042094655,Node(a6.h10),Node(m9)
m6->m9,0.061414316,0.061414316,Node(m6),Node(m9)
a7.h1->m9,-0.04515193,0.04515193,Node(a7.h1),Node(m9)
m7->m9,-0.0683974,0.0683974,Node(m7),Node(m9)
a8.h0->m9,0.029722711,0.029722711,Node(a8.h0),Node(m9)
a8.h3->m9,-0.03497906,0.03497906,Node(a8.h3),Node(m9)
a8.h8->m9,-0.050371267,0.050371267,Node(a8.h8),Node(m9)
m8->m9,0.21532059,0.21532059,Node(m8),Node(m9)
a9.h4->m9,0.056083884,0.056083884,Node(a9.h4),Node(m9)
a9.h5->m9,0.06154811,0.06154811,Node(a9.h5),Node(m9)
a9.h7->m9,-0.04793658,0.04793658,Node(a9.h7),Node(m9)
a9.h11->m9,0.028726002,0.028726002,Node(a9.h11),Node(m9)
a9.h15->m9,-0.06803997,0.06803997,Node(a9.h15),Node(m9)
m9->a10.h10<v>,0.0471932,0.0471932,Node(m9),Node(a10.h10)
m2->m10,0.044492267,0.044492267,Node(m2),Node(m10)
m3->m10,-0.0467356,0.0467356,Node(m3),Node(m10)
a5.h3->m10,0.029157579,0.029157579,Node(a5.h3),Node(m10)
m6->m10,-0.036670215,0.036670215,Node(m6),Node(m10)
a7.h1->m10,0.032794386,0.032794386,Node(a7.h1),Node(m10)
a8.h0->m10,-0.030933108,0.030933108,Node(a8.h0),Node(m10)
a9.h1->m10,0.047464013,0.047464013,Node(a9.h1),Node(m10)
a9.h2->m10,-0.02848502,0.02848502,Node(a9.h2),Node(m10)
a9.h4->m10,-0.0403583,0.0403583,Node(a9.h4),Node(m10)
a9.h5->m10,-0.040663347,0.040663347,Node(a9.h5),Node(m10)
a9.h7->m10,0.061234027,0.061234027,Node(a9.h7),Node(m10)
a9.h8->m10,0.036088057,0.036088057,Node(a9.h8),Node(m10)
a9.h10->m10,-0.03959392,0.03959392,Node(a9.h10),Node(m10)
a9.h11->m10,-0.04702462,0.04702462,Node(a9.h11),Node(m10)
a9.h12->m10,-0.03122062,0.03122062,Node(a9.h12),Node(m10)
a9.h15->m10,0.06086078,0.06086078,Node(a9.h15),Node(m10)
a10.h2->m10,-0.03271852,0.03271852,Node(a10.h2),Node(m10)
a10.h6->m10,0.029897965,0.029897965,Node(a10.h6),Node(m10)
m7->a11.h7<v>,0.028651062,0.028651062,Node(m7),Node(a11.h7)
m8->a11.h11<q>,0.029540285,0.029540285,Node(m8),Node(a11.h11)
m8->a11.h11<v>,0.0380473,0.0380473,Node(m8),Node(a11.h11)
m10->a11.h0<v>,0.031996485,0.031996485,Node(m10),Node(a11.h0)
m10->a11.h12<q>,-0.036144458,0.036144458,Node(m10),Node(a11.h12)
m2->m11,-0.030201396,0.030201396,Node(m2),Node(m11)
m4->m11,0.04771916,0.04771916,Node(m4),Node(m11)
m5->m11,0.10310367,0.10310367,Node(m5),Node(m11)
a6.h12->m11,-0.02898826,0.02898826,Node(a6.h12),Node(m11)
m6->m11,0.039199296,0.039199296,Node(m6),Node(m11)
m7->m11,0.09683527,0.09683527,Node(m7),Node(m11)
a8.h3->m11,-0.05480607,0.05480607,Node(a8.h3),Node(m11)
