,score,abs_score,source,target
input->m0,-0.4672429,0.4672429,Node(input),Node(m0)
a0.h1->m0,0.101115,0.101115,Node(a0.h1),Node(m0)
a0.h11->m0,0.098205715,0.098205715,Node(a0.h11),Node(m0)
a0.h12->m0,0.045495607,0.045495607,Node(a0.h12),Node(m0)
a0.h13->m0,-0.034282923,0.034282923,Node(a0.h13),Node(m0)
a0.h14->m0,0.049435556,0.049435556,Node(a0.h14),Node(m0)
a0.h15->m0,0.085230455,0.085230455,Node(a0.h15),Node(m0)
input->a1.h5<v>,0.035457697,0.035457697,Node(input),Node(a1.h5)
input->a1.h7<v>,0.053172495,0.053172495,Node(input),Node(a1.h7)
input->a1.h11<v>,-0.033258222,0.033258222,Node(input),Node(a1.h11)
m0->a1.h5<q>,0.034805533,0.034805533,Node(m0),Node(a1.h5)
m0->a1.h5<v>,0.040749617,0.040749617,Node(m0),Node(a1.h5)
a0.h1->m1,-0.04661431,0.04661431,Node(a0.h1),Node(m1)
a0.h15->m1,0.03704222,0.03704222,Node(a0.h15),Node(m1)
m0->m1,0.10187842,0.10187842,Node(m0),Node(m1)
a1.h3->m1,0.07405344,0.07405344,Node(a1.h3),Node(m1)
a1.h5->m1,0.099442355,0.099442355,Node(a1.h5),Node(m1)
a1.h12->m1,-0.06471732,0.06471732,Node(a1.h12),Node(m1)
a1.h13->m1,0.044486325,0.044486325,Node(a1.h13),Node(m1)
a1.h14->m1,0.044738285,0.044738285,Node(a1.h14),Node(m1)
m0->a2.h3<k>,-0.033997055,0.033997055,Node(m0),Node(a2.h3)
m1->a2.h5<v>,0.032845225,0.032845225,Node(m1),Node(a2.h5)
a0.h1->m2,0.03775815,0.03775815,Node(a0.h1),Node(m2)
a0.h10->m2,0.038161587,0.038161587,Node(a0.h10),Node(m2)
m0->m2,-0.14941084,0.14941084,Node(m0),Node(m2)
a1.h2->m2,0.049985208,0.049985208,Node(a1.h2),Node(m2)
a1.h4->m2,-0.044734128,0.044734128,Node(a1.h4),Node(m2)
m1->m2,-0.058704764,0.058704764,Node(m1),Node(m2)
a2.h7->m2,-0.032582186,0.032582186,Node(a2.h7),Node(m2)
a2.h14->m2,0.046910133,0.046910133,Node(a2.h14),Node(m2)
a2.h15->m2,0.0557695,0.0557695,Node(a2.h15),Node(m2)
m1->a3.h4<q>,0.038153794,0.038153794,Node(m1),Node(a3.h4)
m2->a3.h13<v>,0.06492557,0.06492557,Node(m2),Node(a3.h13)
m2->a3.h14<q>,-0.034599874,0.034599874,Node(m2),Node(a3.h14)
m0->m3,-0.09225798,0.09225798,Node(m0),Node(m3)
a1.h2->m3,-0.035294354,0.035294354,Node(a1.h2),Node(m3)
a1.h4->m3,0.045721963,0.045721963,Node(a1.h4),Node(m3)
m2->m3,0.03299772,0.03299772,Node(m2),Node(m3)
a3.h9->m3,-0.04278671,0.04278671,Node(a3.h9),Node(m3)
a3.h13->m3,0.09332171,0.09332171,Node(a3.h13),Node(m3)
a3.h14->m3,-0.033230603,0.033230603,Node(a3.h14),Node(m3)
a3.h1->a4.h10<q>,0.036448576,0.036448576,Node(a3.h1),Node(a4.h10)
m3->a4.h15<q>,-0.03399565,0.03399565,Node(m3),Node(a4.h15)
m0->m4,0.05986192,0.05986192,Node(m0),Node(m4)
m2->m4,0.092456296,0.092456296,Node(m2),Node(m4)
a3.h13->m4,-0.041846126,0.041846126,Node(a3.h13),Node(m4)
m3->m4,0.15038876,0.15038876,Node(m3),Node(m4)
a4.h2->m4,-0.061980482,0.061980482,Node(a4.h2),Node(m4)
a4.h11->m4,-0.049681053,0.049681053,Node(a4.h11),Node(m4)
a4.h13->m4,-0.052980825,0.052980825,Node(a4.h13),Node(m4)
a4.h15->m4,-0.04943058,0.04943058,Node(a4.h15),Node(m4)
a1.h2->m5,0.0371834,0.0371834,Node(a1.h2),Node(m5)
m1->m5,-0.0411242,0.0411242,Node(m1),Node(m5)
a2.h14->m5,0.073117904,0.073117904,Node(a2.h14),Node(m5)
m2->m5,0.103703484,0.103703484,Node(m2),Node(m5)
m3->m5,-0.10965904,0.10965904,Node(m3),Node(m5)
a4.h2->m5,0.037399538,0.037399538,Node(a4.h2),Node(m5)
m4->m5,0.05420412,0.05420412,Node(m4),Node(m5)
a5.h5->m5,-0.0693592,0.0693592,Node(a5.h5),Node(m5)
a5.h9->m5,0.03331748,0.03331748,Node(a5.h9),Node(m5)
a5.h11->m5,0.037668534,0.037668534,Node(a5.h11),Node(m5)
m1->a6.h4<v>,0.040635493,0.040635493,Node(m1),Node(a6.h4)
m1->a6.h10<v>,-0.034575924,0.034575924,Node(m1),Node(a6.h10)
m2->a6.h4<v>,0.058830477,0.058830477,Node(m2),Node(a6.h4)
m5->a6.h4<v>,-0.07273883,0.07273883,Node(m5),Node(a6.h4)
m5->a6.h10<v>,0.037034497,0.037034497,Node(m5),Node(a6.h10)
m5->a6.h15<q>,0.035259593,0.035259593,Node(m5),Node(a6.h15)
m2->m6,-0.04220032,0.04220032,Node(m2),Node(m6)
a3.h13->m6,0.04538956,0.04538956,Node(a3.h13),Node(m6)
m3->m6,-0.12956205,0.12956205,Node(m3),Node(m6)
m4->m6,-0.18211411,0.18211411,Node(m4),Node(m6)
a5.h9->m6,-0.045633283,0.045633283,Node(a5.h9),Node(m6)
m5->m6,-0.09364919,0.09364919,Node(m5),Node(m6)
a6.h0->m6,-0.046450548,0.046450548,Node(a6.h0),Node(m6)
a6.h4->m6,-0.032266196,0.032266196,Node(a6.h4),Node(m6)
a6.h6->m6,0.032855004,0.032855004,Node(a6.h6),Node(m6)
a6.h10->m6,0.08260311,0.08260311,Node(a6.h10),Node(m6)
a6.h12->m6,0.08096617,0.08096617,Node(a6.h12),Node(m6)
m3->a7.h6<v>,0.03745392,0.03745392,Node(m3),Node(a7.h6)
m5->a7.h12<q>,0.03788528,0.03788528,Node(m5),Node(a7.h12)
m6->a7.h2<k>,-0.051444672,0.051444672,Node(m6),Node(a7.h2)
m0->m7,0.04773731,0.04773731,Node(m0),Node(m7)
m3->m7,0.06709411,0.06709411,Node(m3),Node(m7)
m4->m7,0.045410614,0.045410614,Node(m4),Node(m7)
m5->m7,-0.03436037,0.03436037,Node(m5),Node(m7)
a6.h0->m7,-0.15648675,0.15648675,Node(a6.h0),Node(m7)
a6.h2->m7,-0.03378819,0.03378819,Node(a6.h2),Node(m7)
a6.h8->m7,-0.035985045,0.035985045,Node(a6.h8),Node(m7)
a7.h1->m7,0.07802652,0.07802652,Node(a7.h1),Node(m7)
a7.h6->m7,-0.04504431,0.04504431,Node(a7.h6),Node(m7)
a7.h7->m7,-0.054551676,0.054551676,Node(a7.h7),Node(m7)
m5->a8.h1<q>,-0.039197877,0.039197877,Node(m5),Node(a8.h1)
m6->a8.h10<v>,-0.04023842,0.04023842,Node(m6),Node(a8.h10)
m7->a8.h13<v>,0.03370717,0.03370717,Node(m7),Node(a8.h13)
m2->m8,-0.051642776,0.051642776,Node(m2),Node(m8)
m3->m8,0.1516569,0.1516569,Node(m3),Node(m8)
a5.h3->m8,0.046288267,0.046288267,Node(a5.h3),Node(m8)
m5->m8,-0.08324759,0.08324759,Node(m5),Node(m8)
a6.h0->m8,0.050740875,0.050740875,Node(a6.h0),Node(m8)
