,score,abs_score,source,target
input->m0,-0.11123295,0.11123295,Node(input),Node(m0)
a0.h1->m0,0.050912917,0.050912917,Node(a0.h1),Node(m0)
a0.h6->m0,0.020554837,0.020554837,Node(a0.h6),Node(m0)
a0.h8->m0,-0.027360242,0.027360242,Node(a0.h8),Node(m0)
a0.h10->m0,0.045138583,0.045138583,Node(a0.h10),Node(m0)
a0.h13->m0,0.018039865,0.018039865,Node(a0.h13),Node(m0)
input->a1.h3<v>,-0.019094255,0.019094255,Node(input),Node(a1.h3)
m0->a1.h4<v>,-0.022546796,0.022546796,Node(m0),Node(a1.h4)
m0->a1.h8<k>,0.018159945,0.018159945,Node(m0),Node(a1.h8)
m0->a1.h11<v>,-0.01935517,0.01935517,Node(m0),Node(a1.h11)
input->m1,-0.026458915,0.026458915,Node(input),Node(m1)
m0->m1,0.050048426,0.050048426,Node(m0),Node(m1)
a1.h3->m1,-0.03343043,0.03343043,Node(a1.h3),Node(m1)
a1.h4->m1,-0.043692302,0.043692302,Node(a1.h4),Node(m1)
a1.h8->m1,0.03474312,0.03474312,Node(a1.h8),Node(m1)
a1.h9->m1,-0.020642703,0.020642703,Node(a1.h9),Node(m1)
a1.h11->m1,-0.026621623,0.026621623,Node(a1.h11),Node(m1)
a1.h13->m1,-0.032103635,0.032103635,Node(a1.h13),Node(m1)
a1.h14->m1,-0.038136333,0.038136333,Node(a1.h14),Node(m1)
a1.h15->m1,0.022045992,0.022045992,Node(a1.h15),Node(m1)
m0->a2.h8<v>,-0.01791326,0.01791326,Node(m0),Node(a2.h8)
m0->a2.h10<q>,0.025208388,0.025208388,Node(m0),Node(a2.h10)
m1->a2.h4<q>,-0.026296502,0.026296502,Node(m1),Node(a2.h4)
m1->a2.h5<q>,0.021409515,0.021409515,Node(m1),Node(a2.h5)
m1->a2.h10<q>,0.041185413,0.041185413,Node(m1),Node(a2.h10)
input->m2,-0.021175226,0.021175226,Node(input),Node(m2)
a0.h1->m2,-0.03864434,0.03864434,Node(a0.h1),Node(m2)
a0.h10->m2,-0.018832665,0.018832665,Node(a0.h10),Node(m2)
a1.h2->m2,-0.037789166,0.037789166,Node(a1.h2),Node(m2)
