,score,abs_score,source,target
input->m0,-0.10693085,0.10693085,Node(input),Node(m0)
a0.h1->m0,0.15387295,0.15387295,Node(a0.h1),Node(m0)
a0.h5->m0,-0.02052612,0.02052612,Node(a0.h5),Node(m0)
a0.h6->m0,0.023088848,0.023088848,Node(a0.h6),Node(m0)
a0.h7->m0,0.121235214,0.121235214,Node(a0.h7),Node(m0)
a0.h10->m0,0.08055899,0.08055899,Node(a0.h10),Node(m0)
a0.h11->m0,-0.03713601,0.03713601,Node(a0.h11),Node(m0)
a0.h12->m0,-0.037926845,0.037926845,Node(a0.h12),Node(m0)
input->a1.h14<v>,0.020834092,0.020834092,Node(input),Node(a1.h14)
m0->a1.h3<v>,0.029213203,0.029213203,Node(m0),Node(a1.h3)
m0->a1.h5<v>,0.02195441,0.02195441,Node(m0),Node(a1.h5)
input->m1,-0.042989247,0.042989247,Node(input),Node(m1)
a0.h2->m1,-0.018757379,0.018757379,Node(a0.h2),Node(m1)
m0->m1,-0.057956617,0.057956617,Node(m0),Node(m1)
a1.h1->m1,-0.027131833,0.027131833,Node(a1.h1),Node(m1)
a1.h4->m1,-0.038437143,0.038437143,Node(a1.h4),Node(m1)
m1->a2.h1<v>,-0.022092223,0.022092223,Node(m1),Node(a2.h1)
m1->a2.h8<v>,0.0253053,0.0253053,Node(m1),Node(a2.h8)
m0->m2,-0.02800804,0.02800804,Node(m0),Node(m2)
a1.h5->m2,-0.022652335,0.022652335,Node(a1.h5),Node(m2)
m1->m2,-0.019278035,0.019278035,Node(m1),Node(m2)
a2.h6->m2,0.021109512,0.021109512,Node(a2.h6),Node(m2)
a2.h14->m2,0.024405766,0.024405766,Node(a2.h14),Node(m2)
a2.h15->m2,0.031486046,0.031486046,Node(a2.h15),Node(m2)
m0->a3.h1<q>,0.018811136,0.018811136,Node(m0),Node(a3.h1)
m1->a3.h14<v>,0.017868638,0.017868638,Node(m1),Node(a3.h14)
m0->m3,-0.052369654,0.052369654,Node(m0),Node(m3)
a1.h5->m3,0.019807663,0.019807663,Node(a1.h5),Node(m3)
a2.h10->m3,0.018074607,0.018074607,Node(a2.h10),Node(m3)
m2->m3,0.027404886,0.027404886,Node(m2),Node(m3)
a3.h8->m3,0.019682668,0.019682668,Node(a3.h8),Node(m3)
m2->a4.h8<v>,0.025434112,0.025434112,Node(m2),Node(a4.h8)
m3->a4.h13<q>,0.023474373,0.023474373,Node(m3),Node(a4.h13)
m3->a4.h14<q>,0.022727763,0.022727763,Node(m3),Node(a4.h14)
m0->m4,0.03830745,0.03830745,Node(m0),Node(m4)
a1.h4->m4,-0.018701158,0.018701158,Node(a1.h4),Node(m4)
m1->m4,-0.03896827,0.03896827,Node(m1),Node(m4)
m2->m4,0.0426825,0.0426825,Node(m2),Node(m4)
a3.h0->m4,-0.028930312,0.028930312,Node(a3.h0),Node(m4)
a3.h1->m4,0.03130054,0.03130054,Node(a3.h1),Node(m4)
a3.h13->m4,-0.01883602,0.01883602,Node(a3.h13),Node(m4)
a4.h9->m4,-0.028688662,0.028688662,Node(a4.h9),Node(m4)
a4.h15->m4,-0.029748647,0.029748647,Node(a4.h15),Node(m4)
m1->a5.h3<v>,-0.022420894,0.022420894,Node(m1),Node(a5.h3)
m4->a5.h9<v>,-0.01832291,0.01832291,Node(m4),Node(a5.h9)
input->m5,-0.018161284,0.018161284,Node(input),Node(m5)
a0.h1->m5,0.018329699,0.018329699,Node(a0.h1),Node(m5)
m0->m5,-0.05711066,0.05711066,Node(m0),Node(m5)
m2->m5,-0.09217098,0.09217098,Node(m2),Node(m5)
a3.h6->m5,0.018277591,0.018277591,Node(a3.h6),Node(m5)
a4.h2->m5,0.021937614,0.021937614,Node(a4.h2),Node(m5)
a4.h13->m5,0.022262514,0.022262514,Node(a4.h13),Node(m5)
m4->m5,0.030573165,0.030573165,Node(m4),Node(m5)
a5.h5->m5,0.018257149,0.018257149,Node(a5.h5),Node(m5)
a5.h10->m5,-0.024426948,0.024426948,Node(a5.h10),Node(m5)
m0->a6.h4<v>,-0.017971609,0.017971609,Node(m0),Node(a6.h4)
m1->a6.h4<v>,-0.019843183,0.019843183,Node(m1),Node(a6.h4)
m1->a6.h10<v>,0.020235294,0.020235294,Node(m1),Node(a6.h10)
m2->a6.h4<v>,-0.0373197,0.0373197,Node(m2),Node(a6.h4)
m2->a6.h10<v>,0.03256326,0.03256326,Node(m2),Node(a6.h10)
a3.h0->a6.h12<k>,0.018912163,0.018912163,Node(a3.h0),Node(a6.h12)
m4->a6.h0<v>,-0.021324363,0.021324363,Node(m4),Node(a6.h0)
m5->a6.h4<v>,0.049514048,0.049514048,Node(m5),Node(a6.h4)
m5->a6.h10<q>,0.022617176,0.022617176,Node(m5),Node(a6.h10)
m5->a6.h10<v>,-0.033463262,0.033463262,Node(m5),Node(a6.h10)
m1->m6,0.031115558,0.031115558,Node(m1),Node(m6)
a3.h1->m6,-0.03013308,0.03013308,Node(a3.h1),Node(m6)
a3.h5->m6,0.018876966,0.018876966,Node(a3.h5),Node(m6)
m3->m6,0.075433284,0.075433284,Node(m3),Node(m6)
a4.h2->m6,-0.021771055,0.021771055,Node(a4.h2),Node(m6)
a4.h8->m6,0.018134192,0.018134192,Node(a4.h8),Node(m6)
a4.h9->m6,-0.032399632,0.032399632,Node(a4.h9),Node(m6)
a4.h11->m6,-0.026941564,0.026941564,Node(a4.h11),Node(m6)
a5.h3->m6,-0.032786187,0.032786187,Node(a5.h3),Node(m6)
a5.h5->m6,-0.021585576,0.021585576,Node(a5.h5),Node(m6)
a5.h6->m6,-0.020764932,0.020764932,Node(a5.h6),Node(m6)
m5->m6,0.10727809,0.10727809,Node(m5),Node(m6)
a6.h0->m6,0.06080891,0.06080891,Node(a6.h0),Node(m6)
a6.h1->m6,-0.028630178,0.028630178,Node(a6.h1),Node(m6)
m2->a7.h6<q>,0.026753863,0.026753863,Node(m2),Node(a7.h6)
m5->a7.h1<q>,-0.025738727,0.025738727,Node(m5),Node(a7.h1)
m5->a7.h6<q>,0.023118138,0.023118138,Node(m5),Node(a7.h6)
m5->a7.h6<k>,-0.026812177,0.026812177,Node(m5),Node(a7.h6)
a6.h12->a7.h4<v>,-0.018288024,0.018288024,Node(a6.h12),Node(a7.h4)
m6->a7.h6<q>,-0.017845849,0.017845849,Node(m6),Node(a7.h6)
m6->a7.h6<v>,-0.033278506,0.033278506,Node(m6),Node(a7.h6)
m6->a7.h11<k>,0.019281616,0.019281616,Node(m6),Node(a7.h11)
m1->m7,0.01942768,0.01942768,Node(m1),Node(m7)
a2.h14->m7,0.029373065,0.029373065,Node(a2.h14),Node(m7)
m2->m7,0.023775976,0.023775976,Node(m2),Node(m7)
a4.h7->m7,0.019548172,0.019548172,Node(a4.h7),Node(m7)
a5.h3->m7,0.021728542,0.021728542,Node(a5.h3),Node(m7)
a5.h10->m7,0.019354124,0.019354124,Node(a5.h10),Node(m7)
a5.h12->m7,-0.018601436,0.018601436,Node(a5.h12),Node(m7)
m5->m7,-0.017627327,0.017627327,Node(m5),Node(m7)
a6.h2->m7,0.020560134,0.020560134,Node(a6.h2),Node(m7)
a6.h12->m7,-0.031500526,0.031500526,Node(a6.h12),Node(m7)
a6.h15->m7,0.027531533,0.027531533,Node(a6.h15),Node(m7)
m6->m7,-0.084034406,0.084034406,Node(m6),Node(m7)
a7.h2->m7,0.043136746,0.043136746,Node(a7.h2),Node(m7)
a7.h3->m7,-0.03261232,0.03261232,Node(a7.h3),Node(m7)
a7.h6->m7,0.034123756,0.034123756,Node(a7.h6),Node(m7)
a7.h7->m7,0.017637817,0.017637817,Node(a7.h7),Node(m7)
a7.h10->m7,-0.029644933,0.029644933,Node(a7.h10),Node(m7)
m7->a8.h4<v>,-0.018566392,0.018566392,Node(m7),Node(a8.h4)
m0->m8,-0.026852366,0.026852366,Node(m0),Node(m8)
a2.h8->m8,0.020493321,0.020493321,Node(a2.h8),Node(m8)
m2->m8,-0.02983144,0.02983144,Node(m2),Node(m8)
m3->m8,0.02812676,0.02812676,Node(m3),Node(m8)
m4->m8,-0.05489088,0.05489088,Node(m4),Node(m8)
a5.h5->m8,0.023281781,0.023281781,Node(a5.h5),Node(m8)
m5->m8,-0.031339,0.031339,Node(m5),Node(m8)
a6.h1->m8,0.0269721,0.0269721,Node(a6.h1),Node(m8)
a6.h2->m8,0.021305006,0.021305006,Node(a6.h2),Node(m8)
a6.h4->m8,0.025755806,0.025755806,Node(a6.h4),Node(m8)
a6.h10->m8,-0.018727055,0.018727055,Node(a6.h10),Node(m8)
a6.h12->m8,0.029077023,0.029077023,Node(a6.h12),Node(m8)
m6->m8,0.12933351,0.12933351,Node(m6),Node(m8)
a7.h1->m8,-0.07172913,0.07172913,Node(a7.h1),Node(m8)
a7.h2->m8,0.02958661,0.02958661,Node(a7.h2),Node(m8)
a7.h3->m8,0.021191454,0.021191454,Node(a7.h3),Node(m8)
a7.h6->m8,0.050925296,0.050925296,Node(a7.h6),Node(m8)
a7.h8->m8,0.02211692,0.02211692,Node(a7.h8),Node(m8)
a7.h11->m8,-0.034969904,0.034969904,Node(a7.h11),Node(m8)
a7.h13->m8,0.027458621,0.027458621,Node(a7.h13),Node(m8)
m7->m8,-0.14865258,0.14865258,Node(m7),Node(m8)
a8.h0->m8,0.033566594,0.033566594,Node(a8.h0),Node(m8)
a8.h2->m8,0.03835448,0.03835448,Node(a8.h2),Node(m8)
a8.h8->m8,-0.060422134,0.060422134,Node(a8.h8),Node(m8)
a8.h10->m8,0.056109093,0.056109093,Node(a8.h10),Node(m8)
a8.h11->m8,-0.0177084,0.0177084,Node(a8.h11),Node(m8)
a8.h12->m8,0.051546864,0.051546864,Node(a8.h12),Node(m8)
a8.h14->m8,0.023807626,0.023807626,Node(a8.h14),Node(m8)
m7->a9.h1<v>,0.026278734,0.026278734,Node(m7),Node(a9.h1)
m7->a9.h5<q>,-0.024265347,0.024265347,Node(m7),Node(a9.h5)
a8.h8->a9.h5<q>,0.037413783,0.037413783,Node(a8.h8),Node(a9.h5)
a8.h8->a9.h5<k>,0.020585118,0.020585118,Node(a8.h8),Node(a9.h5)
a8.h8->a9.h7<v>,-0.021111375,0.021111375,Node(a8.h8),Node(a9.h7)
m8->a9.h1<k>,0.025411572,0.025411572,Node(m8),Node(a9.h1)
m8->a9.h7<v>,-0.020198945,0.020198945,Node(m8),Node(a9.h7)
m8->a9.h15<v>,0.025743507,0.025743507,Node(m8),Node(a9.h15)
m0->m9,-0.02731555,0.02731555,Node(m0),Node(m9)
m2->m9,-0.033991188,0.033991188,Node(m2),Node(m9)
m3->m9,-0.03965811,0.03965811,Node(m3),Node(m9)
m4->m9,-0.04953394,0.04953394,Node(m4),Node(m9)
a5.h3->m9,0.019840837,0.019840837,Node(a5.h3),Node(m9)
m6->m9,0.01830029,0.01830029,Node(m6),Node(m9)
a7.h3->m9,-0.022009112,0.022009112,Node(a7.h3),Node(m9)
a7.h11->m9,0.023172434,0.023172434,Node(a7.h11),Node(m9)
m7->m9,0.063022,0.063022,Node(m7),Node(m9)
a8.h2->m9,0.017671335,0.017671335,Node(a8.h2),Node(m9)
a8.h4->m9,0.025726456,0.025726456,Node(a8.h4),Node(m9)
a8.h10->m9,0.0180604,0.0180604,Node(a8.h10),Node(m9)
m8->m9,-0.02952477,0.02952477,Node(m8),Node(m9)
a9.h1->m9,-0.031556062,0.031556062,Node(a9.h1),Node(m9)
a9.h2->m9,-0.023010101,0.023010101,Node(a9.h2),Node(m9)
a9.h8->m9,0.02378324,0.02378324,Node(a9.h8),Node(m9)
a9.h11->m9,0.03526024,0.03526024,Node(a9.h11),Node(m9)
m6->a10.h15<v>,-0.019030325,0.019030325,Node(m6),Node(a10.h15)
m8->a10.h4<v>,0.02223907,0.02223907,Node(m8),Node(a10.h4)
m8->a10.h9<q>,0.031446323,0.031446323,Node(m8),Node(a10.h9)
a9.h6->a10.h5<k>,0.029562179,0.029562179,Node(a9.h6),Node(a10.h5)
m9->a10.h6<v>,0.022101756,0.022101756,Node(m9),Node(a10.h6)
m9->a10.h9<q>,-0.028890744,0.028890744,Node(m9),Node(a10.h9)
m9->a10.h15<q>,-0.02987437,0.02987437,Node(m9),Node(a10.h15)
m9->a10.h15<v>,0.02378658,0.02378658,Node(m9),Node(a10.h15)
m2->m10,0.02233894,0.02233894,Node(m2),Node(m10)
m3->m10,-0.02710243,0.02710243,Node(m3),Node(m10)
m5->m10,-0.035902105,0.035902105,Node(m5),Node(m10)
m6->m10,-0.043065295,0.043065295,Node(m6),Node(m10)
a7.h6->m10,0.01939164,0.01939164,Node(a7.h6),Node(m10)
a7.h15->m10,-0.018556781,0.018556781,Node(a7.h15),Node(m10)
a8.h13->m10,0.017585348,0.017585348,Node(a8.h13),Node(m10)
a8.h14->m10,-0.026712682,0.026712682,Node(a8.h14),Node(m10)
a9.h2->m10,-0.027022442,0.027022442,Node(a9.h2),Node(m10)
a9.h5->m10,-0.023910781,0.023910781,Node(a9.h5),Node(m10)
a9.h15->m10,0.045175552,0.045175552,Node(a9.h15),Node(m10)
m9->m10,-0.03532993,0.03532993,Node(m9),Node(m10)
a10.h1->m10,0.018283188,0.018283188,Node(a10.h1),Node(m10)
a10.h2->m10,-0.018144961,0.018144961,Node(a10.h2),Node(m10)
a10.h4->m10,0.040270187,0.040270187,Node(a10.h4),Node(m10)
