edge,score
m23->logits,0.3666579569353637
m7->m8,0.3187200146444702
a17.h4->m22,0.26892006
a20.h6->m22,0.15481836
m10->m13,0.1460979199126434
a13.h4->a14.h13<q>,0.1398826849784851
m13->a14.h13<k>,0.1364452361457214
m10->m11,0.1317942916113586
a6.h0->m6,0.1126607337110595
m8->m9,0.1084775678331222
a0.h10->m0,0.1054041197403564
m3->m6,0.1037500003360595
m2->m6,0.103715749652832
a7.h2->m8,0.103096756317482
m8->m11,0.1024568020212478
a0.h1->m0,0.1019795653629531
a13.h12->m13,0.0976591698322753
m7->m11,0.096571757817749
a12.h3->a14.h13<q>,0.0960929566899414
m1->m7,0.094441065956665
m6->m9,0.0940784356225891
a7.h6->m8,0.0934544025126495
a17.h5->a18.h0<q>,0.0916693807099609
a12.h14->m12,0.0915485542387695
m12->m14,0.0882046455617675
a8.h1->m8,0.0879412965219726
a9.h7->m9,0.0877925680893859
m0->m2,0.0851993411184082
m8->m10,0.0839997295064697
a21.h9->m22,0.0777113
a6.h2->m7,0.074508137859375
m7->m12,0.0745069398700561
a12.h11->m13,0.0743259982061767
a23.h3->m23,0.0737060871670646
m5->m11,0.0715492071020812
m3->m5,0.0708107051877746
a8.h12->m8,0.0705863490952148
m11->a14.h13<q>,0.0700369602832031
m2->a4.h13<k>,0.06678340075
a5.h3->m9,0.0666921724981689
m2->a4.h11<k>,0.065036796
a20.h14->m23,0.0643721474163818
a6.h3->m7,0.06421815921875
m5->a6.h4<v>,0.0637724128320312
a21.h12->logits,0.0626407741987838
m14->m15,0.0624052005180664
m22->logits,0.0603496828682479
a12.h5->a13.h4<v>,0.06025726
a14.h11->a18.h8<q>,0.0600445795689697
a6.h2->m13,0.059471577
m2->m3,0.0593441238876953
m1->m2,0.0586530391523437
a2.h14->m7,0.058505808265625
a11.h11->m13,0.0584911644374999
a8.h4->m9,0.0582128216457519
a1.h12->m1,0.057586679442871
m3->a4.h13<q>,0.0574153915683593
a8.h0->m8,0.0572120108232421
a9.h15->m13,0.05717682
a2.h14->m2,0.0566459561027831
m5->m13,0.0564687619394531
a19.h13->a23.h15<q>,0.056223385
a9.h1->m10,0.056126645578125
m11->a13.h1<q>,0.0557372237573852
m19->m23,0.0556110225979003
m8->a11.h11<q>,0.0552042922480468
a9.h6->m13,0.0550025020595703
m8->m12,0.0543642085268554
m6->m13,0.0540676307008666
a9.h7->m11,0.0539571858305664
m0->a1.h8<k>,0.053375207
m5->m16,0.05317719
a4.h15->m5,0.053156263234375
a4.h13->m7,0.053036697
m15->m16,0.0529314908787841
m5->m8,0.0529091369378051
a6.h15->m7,0.0525089351249999
input->m2,0.0521805865
m16->m17,0.0521628543171997
