edge,score
m23->logits,0.4592140362591553
a7.h2->m8,0.133801471859375
m9->m10,0.1254402205234375
m3->m5,0.1241147891850891
m7->m8,0.1146936380951233
m10->m13,0.1144793464467773
m3->m6,0.1084951302490234
a6.h0->m6,0.1074826535214843
m22->logits,0.1038698509873428
a9.h7->m9,0.1018257381778564
a23.h3->m23,0.0999964185915527
input->m0,0.0986284495463256
m5->m10,0.0973268185550537
m5->m8,0.0953921931759033
a0.h1->m0,0.0873719208410644
m6->m9,0.0870295352592773
m12->a13.h1<k>,0.0853223354375
a8.h12->m8,0.0848066640126953
a13.h4->a14.h13<q>,0.0824286494033203
a0.h7->m0,0.0814997580429687
m8->m11,0.0813587051188964
a13.h12->m13,0.0806410093596191
a8.h4->m9,0.0802242909980468
a12.h10->m13,0.07593535609375
m3->a4.h13<q>,0.0753729750625
a12.h3->a14.h13<q>,0.074892589005371
m13->a16.h1<k>,0.074239224
a20.h14->m23,0.0739163136601562
m19->m23,0.0729103464726562
m9->a10.h6<v>,0.07279631
a1.h4->m1,0.071584246625
m14->m17,0.0697513167226562
m2->m6,0.0691346176450195
a5.h3->m9,0.0686567711210937
a17.h5->a18.h0<q>,0.068119950411087
m9->a14.h13<q>,0.0658292166249999
a7.h6->m9,0.0649911724448242
m2->m3,0.0638113253766174
m10->a11.h11<k>,0.06325651953125
a8.h5->m8,0.06247408490625
m9->a11.h4<k>,0.061549604
a6.h13->m6,0.0603388006875
a4.h13->m4,0.0602371807499999
m0->m2,0.0598059565090942
m8->a11.h11<q>,0.0595741518632812
m6->a7.h8<k>,0.0593750549999999
a13.h4->a14.h5<q>,0.059198379
a10.h1->m10,0.0590653462224121
input->m2,0.0586868215195312
m5->a8.h10<v>,0.0586646149375
m4->m6,0.0584066939238281
a8.h1->a9.h7<v>,0.058381733
m7->a8.h10<k>,0.0577438833124999
m6->m8,0.0576769920390625
m11->a12.h14<q>,0.0575318445
m0->m3,0.0570933879453125
m11->a14.h13<q>,0.0567357649638671
a14.h11->a15.h0<v>,0.056286076109375
a2.h5->m3,0.0562814155624999
a7.h15->m8,0.05581779375
a11.h4->a12.h14<q>,0.055766758
a12.h3->a13.h12<v>,0.055538233171875
a7.h11->m11,0.055400386
a2.h14->m8,0.05510989659375
a7.h8->m8,0.0550561712958984
m0->a4.h13<q>,0.054987878
a8.h1->m8,0.0549860634238281
a2.h14->m2,0.054493730265625
a8.h8->a11.h15<q>,0.0544491599999999
a8.h8->a11.h11<k>,0.0544193885
a7.h6->m8,0.0538873497885742
m12->m15,0.0537578694589843
m9->a14.h5<q>,0.053707432
a12.h3->a14.h5<q>,0.0535919297499999
m9->a13.h1<k>,0.05322887425
m7->a8.h8<v>,0.05305286546875
a12.h7->m12,0.0529899620058593
a2.h13->m3,0.0528990868124999
m3->a5.h15<q>,0.052791666
m1->a3.h14<v>,0.0522760955
m12->a14.h13<k>,0.0522256513886718
m12->a13.h4<v>,0.052136207
m6->a11.h11<k>,0.0520482305
a7.h6->m7,0.0520094688359374
a6.h3->m7,0.0519455382499999
a9.h6->m13,0.0519427380957031
a3.h0->m4,0.0510901314375
a14.h11->a18.h8<q>,0.0508809801796875
a2.h14->m7,0.05066035303125
m7->m12,0.0505504670979003
m2->m10,0.0503282662109375
a14.h11->a16.h1<q>,0.0502643819999999
a10.h8->a11.h11<k>,0.050238145921875
a2.h14->m3,0.05002147340625
a0.h1->m1,0.04986158
a0.h1->a1.h2<q>,0.0497847785
m8->a10.h15<q>,0.0491284360507812
input->m4,0.049125869
