,score,abs_score,source,target
input->m0,-0.105039984,0.105039984,Node(input),Node(m0)
a0.h1->m0,0.05030213,0.05030213,Node(a0.h1),Node(m0)
a0.h5->m0,0.037431456,0.037431456,Node(a0.h5),Node(m0)
a0.h7->m0,-0.03132008,0.03132008,Node(a0.h7),Node(m0)
a0.h10->m0,-0.06503466,0.06503466,Node(a0.h10),Node(m0)
input->a1.h6<v>,-0.022818893,0.022818893,Node(input),Node(a1.h6)
input->a1.h11<v>,0.024845887,0.024845887,Node(input),Node(a1.h11)
m0->a1.h2<q>,-0.029999357,0.029999357,Node(m0),Node(a1.h2)
input->m1,0.03333263,0.03333263,Node(input),Node(m1)
a1.h2->m1,-0.028686343,0.028686343,Node(a1.h2),Node(m1)
a1.h4->m1,-0.03134866,0.03134866,Node(a1.h4),Node(m1)
a1.h5->m1,0.026822096,0.026822096,Node(a1.h5),Node(m1)
a1.h14->m1,-0.055523433,0.055523433,Node(a1.h14),Node(m1)
a1.h5->m2,-0.022615125,0.022615125,Node(a1.h5),Node(m2)
m1->m2,0.03972397,0.03972397,Node(m1),Node(m2)
a2.h2->m2,-0.027886167,0.027886167,Node(a2.h2),Node(m2)
a2.h3->m2,-0.027453726,0.027453726,Node(a2.h3),Node(m2)
a2.h5->m2,0.029296543,0.029296543,Node(a2.h5),Node(m2)
a2.h6->m2,0.03242725,0.03242725,Node(a2.h6),Node(m2)
a2.h15->m2,0.057519905,0.057519905,Node(a2.h15),Node(m2)
m1->a3.h14<v>,0.029625675,0.029625675,Node(m1),Node(a3.h14)
m2->a3.h0<q>,-0.034134075,0.034134075,Node(m2),Node(a3.h0)
m0->m3,-0.03789536,0.03789536,Node(m0),Node(m3)
m1->m3,-0.05313167,0.05313167,Node(m1),Node(m3)
a2.h3->m3,-0.027956909,0.027956909,Node(a2.h3),Node(m3)
a2.h5->m3,0.02595812,0.02595812,Node(a2.h5),Node(m3)
a2.h6->m3,-0.022765815,0.022765815,Node(a2.h6),Node(m3)
a2.h13->m3,0.031215003,0.031215003,Node(a2.h13),Node(m3)
a2.h14->m3,0.084119216,0.084119216,Node(a2.h14),Node(m3)
m2->m3,0.08220442,0.08220442,Node(m2),Node(m3)
a3.h0->m3,-0.06454739,0.06454739,Node(a3.h0),Node(m3)
a3.h3->m3,-0.028148822,0.028148822,Node(a3.h3),Node(m3)
a3.h5->m3,-0.026769146,0.026769146,Node(a3.h5),Node(m3)
m1->a4.h11<q>,0.024134666,0.024134666,Node(m1),Node(a4.h11)
m3->a4.h12<k>,-0.025196886,0.025196886,Node(m3),Node(a4.h12)
m3->a4.h13<q>,0.036060818,0.036060818,Node(m3),Node(a4.h13)
m0->m4,0.030748269,0.030748269,Node(m0),Node(m4)
a1.h4->m4,0.02250517,0.02250517,Node(a1.h4),Node(m4)
m1->m4,-0.026777934,0.026777934,Node(m1),Node(m4)
a2.h5->m4,-0.024316465,0.024316465,Node(a2.h5),Node(m4)
a3.h1->m4,0.040350854,0.040350854,Node(a3.h1),Node(m4)
a4.h9->m4,-0.029414684,0.029414684,Node(a4.h9),Node(m4)
m3->a5.h15<q>,0.023793977,0.023793977,Node(m3),Node(a5.h15)
input->m5,-0.025953792,0.025953792,Node(input),Node(m5)
a0.h1->m5,0.034909166,0.034909166,Node(a0.h1),Node(m5)
m0->m5,-0.07238482,0.07238482,Node(m0),Node(m5)
a1.h2->m5,-0.027244536,0.027244536,Node(a1.h2),Node(m5)
m1->m5,-0.043007296,0.043007296,Node(m1),Node(m5)
a2.h3->m5,-0.03550649,0.03550649,Node(a2.h3),Node(m5)
m2->m5,-0.045210503,0.045210503,Node(m2),Node(m5)
a3.h1->m5,0.029452756,0.029452756,Node(a3.h1),Node(m5)
a3.h13->m5,0.032988593,0.032988593,Node(a3.h13),Node(m5)
m3->m5,0.02411678,0.02411678,Node(m3),Node(m5)
a4.h1->m5,0.027187131,0.027187131,Node(a4.h1),Node(m5)
a4.h9->m5,0.032853045,0.032853045,Node(a4.h9),Node(m5)
a4.h15->m5,0.03279009,0.03279009,Node(a4.h15),Node(m5)
m4->m5,-0.12468323,0.12468323,Node(m4),Node(m5)
a5.h9->m5,0.02495088,0.02495088,Node(a5.h9),Node(m5)
m2->a6.h4<v>,0.030620296,0.030620296,Node(m2),Node(a6.h4)
a3.h0->a6.h12<k>,0.024843331,0.024843331,Node(a3.h0),Node(a6.h12)
a3.h0->a6.h12<v>,-0.030620208,0.030620208,Node(a3.h0),Node(a6.h12)
