,score,abs_score,source,target
input->m0,-0.027683971,0.027683971,Node(input),Node(m0)
a0.h1->m0,-0.05787331,0.05787331,Node(a0.h1),Node(m0)
a0.h2->m0,-0.021119012,0.021119012,Node(a0.h2),Node(m0)
a0.h10->m0,-0.08177099,0.08177099,Node(a0.h10),Node(m0)
a0.h11->m0,0.040691175,0.040691175,Node(a0.h11),Node(m0)
a0.h12->m0,0.024514776,0.024514776,Node(a0.h12),Node(m0)
a0.h14->m0,0.0218819,0.0218819,Node(a0.h14),Node(m0)
a0.h15->m0,0.027984096,0.027984096,Node(a0.h15),Node(m0)
input->a1.h1<v>,0.021612652,0.021612652,Node(input),Node(a1.h1)
input->a1.h5<v>,0.022407642,0.022407642,Node(input),Node(a1.h5)
m0->a1.h1<q>,-0.030256536,0.030256536,Node(m0),Node(a1.h1)
input->m1,0.12218283,0.12218283,Node(input),Node(m1)
a0.h1->m1,-0.023930406,0.023930406,Node(a0.h1),Node(m1)
a0.h10->m1,-0.025071565,0.025071565,Node(a0.h10),Node(m1)
m0->m1,0.20489764,0.20489764,Node(m0),Node(m1)
a1.h2->m1,-0.030503102,0.030503102,Node(a1.h2),Node(m1)
a1.h5->m1,0.036782347,0.036782347,Node(a1.h5),Node(m1)
a1.h11->m1,0.024118166,0.024118166,Node(a1.h11),Node(m1)
a1.h12->m1,-0.06954089,0.06954089,Node(a1.h12),Node(m1)
m0->a2.h3<k>,-0.027328864,0.027328864,Node(m0),Node(a2.h3)
m0->m2,-0.065284416,0.065284416,Node(m0),Node(m2)
m1->m2,-0.14024743,0.14024743,Node(m1),Node(m2)
a2.h8->m2,0.02626564,0.02626564,Node(a2.h8),Node(m2)
m1->a3.h4<q>,0.02599664,0.02599664,Node(m1),Node(a3.h4)
m2->a3.h5<q>,-0.024295624,0.024295624,Node(m2),Node(a3.h5)
m2->a3.h5<k>,-0.019933984,0.019933984,Node(m2),Node(a3.h5)
m2->a3.h5<v>,-0.024707152,0.024707152,Node(m2),Node(a3.h5)
m2->a3.h13<v>,0.043501683,0.043501683,Node(m2),Node(a3.h13)
m0->m3,-0.038018174,0.038018174,Node(m0),Node(m3)
a2.h8->m3,0.026766516,0.026766516,Node(a2.h8),Node(m3)
a2.h14->m3,0.020550873,0.020550873,Node(a2.h14),Node(m3)
m2->m3,-0.03668369,0.03668369,Node(m2),Node(m3)
a3.h13->m3,0.04556,0.04556,Node(a3.h13),Node(m3)
a3.h14->m3,-0.022694258,0.022694258,Node(a3.h14),Node(m3)
m3->a4.h9<q>,-0.025821764,0.025821764,Node(m3),Node(a4.h9)
m0->m4,0.03771695,0.03771695,Node(m0),Node(m4)
m1->m4,0.04205896,0.04205896,Node(m1),Node(m4)
m2->m4,0.019990329,0.019990329,Node(m2),Node(m4)
a3.h13->m4,-0.029555386,0.029555386,Node(a3.h13),Node(m4)
m3->m4,0.05904772,0.05904772,Node(m3),Node(m4)
a4.h2->m4,-0.02934811,0.02934811,Node(a4.h2),Node(m4)
a4.h9->m4,-0.039173566,0.039173566,Node(a4.h9),Node(m4)
a4.h12->m4,-0.02977458,0.02977458,Node(a4.h12),Node(m4)
m3->a5.h3<v>,-0.02013003,0.02013003,Node(m3),Node(a5.h3)
m4->a5.h10<v>,-0.02143385,0.02143385,Node(m4),Node(a5.h10)
m0->m5,-0.025067208,0.025067208,Node(m0),Node(m5)
a1.h2->m5,0.03023542,0.03023542,Node(a1.h2),Node(m5)
a2.h14->m5,0.025781058,0.025781058,Node(a2.h14),Node(m5)
m2->m5,0.11210267,0.11210267,Node(m2),Node(m5)
m3->m5,-0.04971638,0.04971638,Node(m3),Node(m5)
a4.h2->m5,0.045296595,0.045296595,Node(a4.h2),Node(m5)
a4.h9->m5,-0.02092661,0.02092661,Node(a4.h9),Node(m5)
a4.h11->m5,-0.020228375,0.020228375,Node(a4.h11),Node(m5)
m4->m5,-0.03323355,0.03323355,Node(m4),Node(m5)
