,score,abs_score,source,target
a0.h1->m0,0.07960742,0.07960742,Node(a0.h1),Node(m0)
a0.h2->m0,0.07211359,0.07211359,Node(a0.h2),Node(m0)
a0.h4->m0,-0.07796557,0.07796557,Node(a0.h4),Node(m0)
a0.h8->m0,0.053032093,0.053032093,Node(a0.h8),Node(m0)
a0.h10->m0,0.1270953,0.1270953,Node(a0.h10),Node(m0)
a0.h11->m0,-0.065079324,0.065079324,Node(a0.h11),Node(m0)
a0.h12->m0,-0.08219092,0.08219092,Node(a0.h12),Node(m0)
a0.h14->m0,-0.05721944,0.05721944,Node(a0.h14),Node(m0)
input->a1.h2<q>,-0.056806654,0.056806654,Node(input),Node(a1.h2)
input->a1.h2<v>,-0.06564825,0.06564825,Node(input),Node(a1.h2)
a0.h1->a1.h2<q>,0.05306541,0.05306541,Node(a0.h1),Node(a1.h2)
m0->a1.h1<q>,0.053759735,0.053759735,Node(m0),Node(a1.h1)
m0->a1.h2<q>,-0.07823874,0.07823874,Node(m0),Node(a1.h2)
input->m1,-0.26274866,0.26274866,Node(input),Node(m1)
a0.h1->m1,0.092697024,0.092697024,Node(a0.h1),Node(m1)
a0.h7->m1,0.053159595,0.053159595,Node(a0.h7),Node(m1)
m0->m1,-0.34993777,0.34993777,Node(m0),Node(m1)
a1.h2->m1,-0.07383956,0.07383956,Node(a1.h2),Node(m1)
a1.h3->m1,-0.11070824,0.11070824,Node(a1.h3),Node(m1)
a1.h4->m1,0.09524065,0.09524065,Node(a1.h4),Node(m1)
a1.h5->m1,-0.074391685,0.074391685,Node(a1.h5),Node(m1)
a1.h12->m1,0.082613856,0.082613856,Node(a1.h12),Node(m1)
a1.h14->m1,-0.109327495,0.109327495,Node(a1.h14),Node(m1)
m1->a2.h3<k>,-0.055648863,0.055648863,Node(m1),Node(a2.h3)
m1->a2.h3<v>,-0.07379575,0.07379575,Node(m1),Node(a2.h3)
m1->a2.h14<q>,-0.05448022,0.05448022,Node(m1),Node(a2.h14)
input->m2,0.088769555,0.088769555,Node(input),Node(m2)
a0.h1->m2,-0.05393976,0.05393976,Node(a0.h1),Node(m2)
m0->m2,0.22153601,0.22153601,Node(m0),Node(m2)
a1.h2->m2,-0.0831343,0.0831343,Node(a1.h2),Node(m2)
a1.h4->m2,0.09573662,0.09573662,Node(a1.h4),Node(m2)
a1.h5->m2,-0.06092931,0.06092931,Node(a1.h5),Node(m2)
a1.h14->m2,-0.06884916,0.06884916,Node(a1.h14),Node(m2)
m1->m2,0.15481396,0.15481396,Node(m1),Node(m2)
a2.h1->m2,-0.060721546,0.060721546,Node(a2.h1),Node(m2)
a2.h3->m2,-0.06021928,0.06021928,Node(a2.h3),Node(m2)
a2.h8->m2,-0.06533526,0.06533526,Node(a2.h8),Node(m2)
a2.h10->m2,0.05522458,0.05522458,Node(a2.h10),Node(m2)
a2.h14->m2,0.05609333,0.05609333,Node(a2.h14),Node(m2)
m1->a3.h4<q>,-0.07284657,0.07284657,Node(m1),Node(a3.h4)
m1->a3.h14<v>,0.061719533,0.061719533,Node(m1),Node(a3.h14)
m2->a3.h0<q>,-0.07900443,0.07900443,Node(m2),Node(a3.h0)
m2->a3.h0<v>,-0.05843188,0.05843188,Node(m2),Node(a3.h0)
m2->a3.h5<k>,0.0720249,0.0720249,Node(m2),Node(a3.h5)
m2->a3.h5<v>,0.069070384,0.069070384,Node(m2),Node(a3.h5)
m2->a3.h14<q>,0.056921627,0.056921627,Node(m2),Node(a3.h14)
input->m3,0.06937449,0.06937449,Node(input),Node(m3)
a1.h4->m3,-0.09605394,0.09605394,Node(a1.h4),Node(m3)
m1->m3,-0.17652875,0.17652875,Node(m1),Node(m3)
a2.h5->m3,0.082153775,0.082153775,Node(a2.h5),Node(m3)
a2.h8->m3,-0.07372555,0.07372555,Node(a2.h8),Node(m3)
a2.h13->m3,0.065265045,0.065265045,Node(a2.h13),Node(m3)
m2->m3,0.32745868,0.32745868,Node(m2),Node(m3)
a3.h0->m3,-0.19347589,0.19347589,Node(a3.h0),Node(m3)
a3.h1->m3,-0.063506655,0.063506655,Node(a3.h1),Node(m3)
a3.h5->m3,-0.0900989,0.0900989,Node(a3.h5),Node(m3)
a3.h9->m3,0.056229126,0.056229126,Node(a3.h9),Node(m3)
a3.h14->m3,0.0790506,0.0790506,Node(a3.h14),Node(m3)
m0->a4.h13<q>,0.054987878,0.054987878,Node(m0),Node(a4.h13)
m2->a4.h13<q>,0.062032025,0.062032025,Node(m2),Node(a4.h13)
m2->a4.h13<k>,0.057803005,0.057803005,Node(m2),Node(a4.h13)
m2->a4.h15<v>,-0.0840831,0.0840831,Node(m2),Node(a4.h15)
m3->a4.h8<q>,-0.07041134,0.07041134,Node(m3),Node(a4.h8)
m3->a4.h13<q>,0.1432032,0.1432032,Node(m3),Node(a4.h13)
input->m4,0.058662005,0.058662005,Node(input),Node(m4)
m1->m4,-0.13848263,0.13848263,Node(m1),Node(m4)
a2.h5->m4,-0.11472915,0.11472915,Node(a2.h5),Node(m4)
m2->m4,-0.11220609,0.11220609,Node(m2),Node(m4)
a3.h13->m4,0.07315813,0.07315813,Node(a3.h13),Node(m4)
m3->m4,-0.089781605,0.089781605,Node(m3),Node(m4)
a4.h11->m4,0.07832864,0.07832864,Node(a4.h11),Node(m4)
a4.h13->m4,0.09149375,0.09149375,Node(a4.h13),Node(m4)
m3->a5.h15<q>,0.052791666,0.052791666,Node(m3),Node(a5.h15)
a1.h2->m5,-0.07476019,0.07476019,Node(a1.h2),Node(m5)
a2.h3->m5,-0.09620147,0.09620147,Node(a2.h3),Node(m5)
a2.h14->m5,-0.058172017,0.058172017,Node(a2.h14),Node(m5)
m2->m5,-0.18026105,0.18026105,Node(m2),Node(m5)
a3.h13->m5,-0.08034596,0.08034596,Node(a3.h13),Node(m5)
m3->m5,0.40835595,0.40835595,Node(m3),Node(m5)
a4.h2->m5,-0.07796913,0.07796913,Node(a4.h2),Node(m5)
a4.h9->m5,0.06450383,0.06450383,Node(a4.h9),Node(m5)
a4.h13->m5,0.06745436,0.06745436,Node(a4.h13),Node(m5)
a4.h15->m5,-0.071999,0.071999,Node(a4.h15),Node(m5)
m4->m5,0.06116326,0.06116326,Node(m4),Node(m5)
a5.h3->m5,-0.06955907,0.06955907,Node(a5.h3),Node(m5)
a5.h11->m5,-0.07883869,0.07883869,Node(a5.h11),Node(m5)
m2->a6.h4<v>,-0.074934795,0.074934795,Node(m2),Node(a6.h4)
m5->a6.h4<v>,0.07378061,0.07378061,Node(m5),Node(a6.h4)
m5->a6.h5<v>,-0.060450435,0.060450435,Node(m5),Node(a6.h5)
m5->a6.h12<v>,0.07008054,0.07008054,Node(m5),Node(a6.h12)
m5->a6.h15<k>,-0.06502099,0.06502099,Node(m5),Node(a6.h15)
a2.h14->m6,-0.058705963,0.058705963,Node(a2.h14),Node(m6)
