,score,abs_score,source,target
input->m0,-0.36743683,0.36743683,Node(input),Node(m0)
a0.h1->m0,0.09986254,0.09986254,Node(a0.h1),Node(m0)
a0.h4->m0,0.033416566,0.033416566,Node(a0.h4),Node(m0)
a0.h7->m0,0.039629065,0.039629065,Node(a0.h7),Node(m0)
a0.h10->m0,-0.04169189,0.04169189,Node(a0.h10),Node(m0)
a0.h11->m0,0.06562136,0.06562136,Node(a0.h11),Node(m0)
a0.h12->m0,0.0421495,0.0421495,Node(a0.h12),Node(m0)
a0.h14->m0,0.039522443,0.039522443,Node(a0.h14),Node(m0)
a0.h15->m0,0.06273048,0.06273048,Node(a0.h15),Node(m0)
input->m1,-0.06467768,0.06467768,Node(input),Node(m1)
a0.h7->m1,-0.030099882,0.030099882,Node(a0.h7),Node(m1)
m0->m1,-0.034867357,0.034867357,Node(m0),Node(m1)
a1.h3->m1,0.07389541,0.07389541,Node(a1.h3),Node(m1)
a1.h4->m1,0.039983768,0.039983768,Node(a1.h4),Node(m1)
a1.h5->m1,0.08186579,0.08186579,Node(a1.h5),Node(m1)
a1.h12->m1,-0.027932836,0.027932836,Node(a1.h12),Node(m1)
a1.h14->m1,0.036300145,0.036300145,Node(a1.h14),Node(m1)
m1->a2.h3<k>,0.035673775,0.035673775,Node(m1),Node(a2.h3)
m0->m2,-0.048029006,0.048029006,Node(m0),Node(m2)
a1.h2->m2,0.037645273,0.037645273,Node(a1.h2),Node(m2)
a1.h4->m2,-0.04959224,0.04959224,Node(a1.h4),Node(m2)
m1->m2,0.041778386,0.041778386,Node(m1),Node(m2)
a2.h3->m2,0.031223714,0.031223714,Node(a2.h3),Node(m2)
a2.h6->m2,-0.037074354,0.037074354,Node(a2.h6),Node(m2)
m2->a3.h5<q>,0.038513653,0.038513653,Node(m2),Node(a3.h5)
m2->a3.h13<v>,0.05583819,0.05583819,Node(m2),Node(a3.h13)
m1->m3,0.08172707,0.08172707,Node(m1),Node(m3)
a2.h13->m3,-0.034066208,0.034066208,Node(a2.h13),Node(m3)
m2->m3,-0.042866103,0.042866103,Node(m2),Node(m3)
a3.h1->m3,-0.03227803,0.03227803,Node(a3.h1),Node(m3)
a3.h4->m3,-0.034196816,0.034196816,Node(a3.h4),Node(m3)
a3.h5->m3,0.040981676,0.040981676,Node(a3.h5),Node(m3)
a3.h6->m3,0.032484137,0.032484137,Node(a3.h6),Node(m3)
a3.h9->m3,-0.04057221,0.04057221,Node(a3.h9),Node(m3)
a3.h13->m3,0.029675424,0.029675424,Node(a3.h13),Node(m3)
a3.h14->m3,-0.03664754,0.03664754,Node(a3.h14),Node(m3)
m1->a4.h11<v>,0.028078191,0.028078191,Node(m1),Node(a4.h11)
m2->a4.h8<v>,0.03965987,0.03965987,Node(m2),Node(a4.h8)
m2->a4.h15<v>,0.034637254,0.034637254,Node(m2),Node(a4.h15)
a3.h1->a4.h10<q>,0.029201737,0.029201737,Node(a3.h1),Node(a4.h10)
m3->a4.h9<q>,-0.028960217,0.028960217,Node(m3),Node(a4.h9)
m3->a4.h13<q>,-0.030925876,0.030925876,Node(m3),Node(a4.h13)
m3->a4.h14<q>,-0.03304183,0.03304183,Node(m3),Node(a4.h14)
a1.h4->m4,-0.030982709,0.030982709,Node(a1.h4),Node(m4)
m2->m4,0.07677303,0.07677303,Node(m2),Node(m4)
a3.h13->m4,-0.029975008,0.029975008,Node(a3.h13),Node(m4)
m3->m4,0.14257026,0.14257026,Node(m3),Node(m4)
a4.h2->m4,-0.051130395,0.051130395,Node(a4.h2),Node(m4)
a4.h9->m4,-0.047551468,0.047551468,Node(a4.h9),Node(m4)
a4.h11->m4,-0.033846945,0.033846945,Node(a4.h11),Node(m4)
a4.h13->m4,-0.033611417,0.033611417,Node(a4.h13),Node(m4)
a4.h15->m4,-0.07610258,0.07610258,Node(a4.h15),Node(m4)
m0->m5,-0.041811295,0.041811295,Node(m0),Node(m5)
m1->m5,-0.07561968,0.07561968,Node(m1),Node(m5)
a2.h14->m5,0.059223335,0.059223335,Node(a2.h14),Node(m5)
m2->m5,0.09134875,0.09134875,Node(m2),Node(m5)
a3.h0->m5,-0.066444695,0.066444695,Node(a3.h0),Node(m5)
m3->m5,-0.22104749,0.22104749,Node(m3),Node(m5)
a4.h2->m5,0.033475276,0.033475276,Node(a4.h2),Node(m5)
a4.h11->m5,0.02873449,0.02873449,Node(a4.h11),Node(m5)
a4.h12->m5,-0.040099896,0.040099896,Node(a4.h12),Node(m5)
a4.h15->m5,0.03464921,0.03464921,Node(a4.h15),Node(m5)
m4->m5,0.046770833,0.046770833,Node(m4),Node(m5)
a5.h3->m5,0.07918458,0.07918458,Node(a5.h3),Node(m5)
a5.h5->m5,-0.03195535,0.03195535,Node(a5.h5),Node(m5)
m1->a6.h4<v>,0.027622014,0.027622014,Node(m1),Node(a6.h4)
m2->a6.h12<v>,0.02875512,0.02875512,Node(m2),Node(a6.h12)
m5->a6.h12<v>,-0.036224943,0.036224943,Node(m5),Node(a6.h12)
a2.h14->m6,0.027985444,0.027985444,Node(a2.h14),Node(m6)
a3.h0->m6,0.030175611,0.030175611,Node(a3.h0),Node(m6)
a4.h2->m6,-0.048202306,0.048202306,Node(a4.h2),Node(m6)
a5.h11->m6,-0.03763807,0.03763807,Node(a5.h11),Node(m6)
a5.h14->m6,0.03229554,0.03229554,Node(a5.h14),Node(m6)
a6.h7->m6,-0.02855376,0.02855376,Node(a6.h7),Node(m6)
a6.h12->m6,-0.04326999,0.04326999,Node(a6.h12),Node(m6)
m5->a7.h3<q>,-0.031543463,0.031543463,Node(m5),Node(a7.h3)
m5->a7.h8<q>,0.036249883,0.036249883,Node(m5),Node(a7.h8)
m6->a7.h1<v>,-0.028303748,0.028303748,Node(m6),Node(a7.h1)
m6->a7.h4<v>,0.03886662,0.03886662,Node(m6),Node(a7.h4)
m6->a7.h6<v>,-0.038233623,0.038233623,Node(m6),Node(a7.h6)
a2.h14->m7,-0.027550645,0.027550645,Node(a2.h14),Node(m7)
m2->m7,-0.041239932,0.041239932,Node(m2),Node(m7)
