,score,abs_score,source,target
input->m0,-0.3340313,0.3340313,Node(input),Node(m0)
a0.h1->m0,0.10280788,0.10280788,Node(a0.h1),Node(m0)
a0.h2->m0,0.067952365,0.067952365,Node(a0.h2),Node(m0)
a0.h4->m0,-0.042274594,0.042274594,Node(a0.h4),Node(m0)
a0.h6->m0,0.03867671,0.03867671,Node(a0.h6),Node(m0)
a0.h7->m0,0.04320761,0.04320761,Node(a0.h7),Node(m0)
a0.h10->m0,0.20972666,0.20972666,Node(a0.h10),Node(m0)
a0.h11->m0,-0.09815388,0.09815388,Node(a0.h11),Node(m0)
a0.h13->m0,0.035509896,0.035509896,Node(a0.h13),Node(m0)
a0.h14->m0,-0.04553967,0.04553967,Node(a0.h14),Node(m0)
m0->a1.h3<v>,0.030812453,0.030812453,Node(m0),Node(a1.h3)
m0->a1.h4<q>,0.03520014,0.03520014,Node(m0),Node(a1.h4)
m0->m1,-0.17199735,0.17199735,Node(m0),Node(m1)
a1.h2->m1,0.07294826,0.07294826,Node(a1.h2),Node(m1)
a1.h5->m1,-0.043300748,0.043300748,Node(a1.h5),Node(m1)
a1.h12->m1,0.035631187,0.035631187,Node(a1.h12),Node(m1)
a1.h13->m1,-0.04505911,0.04505911,Node(a1.h13),Node(m1)
a1.h14->m1,-0.077417895,0.077417895,Node(a1.h14),Node(m1)
m0->a2.h3<k>,0.050266333,0.050266333,Node(m0),Node(a2.h3)
input->m2,0.085386634,0.085386634,Node(input),Node(m2)
a0.h1->m2,-0.06436364,0.06436364,Node(a0.h1),Node(m2)
m0->m2,0.14705066,0.14705066,Node(m0),Node(m2)
a1.h2->m2,-0.09192127,0.09192127,Node(a1.h2),Node(m2)
a1.h4->m2,0.047878873,0.047878873,Node(a1.h4),Node(m2)
a1.h14->m2,-0.036388684,0.036388684,Node(a1.h14),Node(m2)
m1->m2,0.14718176,0.14718176,Node(m1),Node(m2)
a2.h2->m2,-0.032605603,0.032605603,Node(a2.h2),Node(m2)
a2.h3->m2,-0.04484097,0.04484097,Node(a2.h3),Node(m2)
a2.h5->m2,0.036479406,0.036479406,Node(a2.h5),Node(m2)
