,score,abs_score,source,target
a13.h4->a14.h11<q>,-0.03833726,0.03833726,Node(a13.h4),Node(a14.h11)
a13.h4->a14.h11<v>,-0.060023114,0.060023114,Node(a13.h4),Node(a14.h11)
a13.h4->a14.h15<q>,-0.035353135,0.035353135,Node(a13.h4),Node(a14.h15)
a13.h4->a14.h15<v>,0.05233879,0.05233879,Node(a13.h4),Node(a14.h15)
a13.h11->a14.h11<q>,-0.020606838,0.020606838,Node(a13.h11),Node(a14.h11)
a13.h12->a14.h13<q>,-0.018396832,0.018396832,Node(a13.h12),Node(a14.h13)
m13->a14.h13<q>,0.073146194,0.073146194,Node(m13),Node(a14.h13)
m13->a14.h14<q>,0.019484786,0.019484786,Node(m13),Node(a14.h14)
m13->a14.h15<q>,0.07098668,0.07098668,Node(m13),Node(a14.h15)
m5->m14,-0.02249609,0.02249609,Node(m5),Node(m14)
m7->m14,-0.032132026,0.032132026,Node(m7),Node(m14)
a10.h1->m14,-0.021720566,0.021720566,Node(a10.h1),Node(m14)
m11->m14,0.022410221,0.022410221,Node(m11),Node(m14)
m12->m14,0.07314397,0.07314397,Node(m12),Node(m14)
a13.h13->m14,-0.018765803,0.018765803,Node(a13.h13),Node(m14)
m13->m14,0.093634665,0.093634665,Node(m13),Node(m14)
a14.h2->m14,-0.029964399,0.029964399,Node(a14.h2),Node(m14)
a14.h14->m14,0.027588544,0.027588544,Node(a14.h14),Node(m14)
a13.h4->a15.h0<v>,0.034888662,0.034888662,Node(a13.h4),Node(a15.h0)
a13.h4->a15.h8<q>,-0.035156053,0.035156053,Node(a13.h4),Node(a15.h8)
a13.h4->a15.h8<k>,-0.024989486,0.024989486,Node(a13.h4),Node(a15.h8)
a13.h4->a15.h8<v>,-0.019183543,0.019183543,Node(a13.h4),Node(a15.h8)
a13.h6->a15.h8<q>,0.021930993,0.021930993,Node(a13.h6),Node(a15.h8)
a13.h6->a15.h11<v>,0.01789047,0.01789047,Node(a13.h6),Node(a15.h11)
a13.h11->a15.h8<q>,-0.019533768,0.019533768,Node(a13.h11),Node(a15.h8)
a14.h11->a15.h0<v>,0.032847002,0.032847002,Node(a14.h11),Node(a15.h0)
a14.h11->a15.h8<q>,-0.024984455,0.024984455,Node(a14.h11),Node(a15.h8)
a14.h15->a15.h0<v>,-0.05499228,0.05499228,Node(a14.h15),Node(a15.h0)
