,score,abs_score,source,target
input->m0,-0.20371956,0.20371956,Node(input),Node(m0)
a0.h1->m0,0.41519377,0.41519377,Node(a0.h1),Node(m0)
a0.h7->m0,0.18659888,0.18659888,Node(a0.h7),Node(m0)
a0.h10->m0,0.1554517,0.1554517,Node(a0.h10),Node(m0)
a0.h11->m0,-0.12605788,0.12605788,Node(a0.h11),Node(m0)
a0.h12->m0,-0.057807904,0.057807904,Node(a0.h12),Node(m0)
m0->a1.h8<k>,0.053375207,0.053375207,Node(m0),Node(a1.h8)
input->m1,-0.21074562,0.21074562,Node(input),Node(m1)
a0.h1->m1,0.17220297,0.17220297,Node(a0.h1),Node(m1)
a0.h7->m1,0.065125614,0.065125614,Node(a0.h7),Node(m1)
m0->m1,-0.26550955,0.26550955,Node(m0),Node(m1)
a1.h2->m1,-0.07130653,0.07130653,Node(a1.h2),Node(m1)
a1.h3->m1,-0.10208683,0.10208683,Node(a1.h3),Node(m1)
a1.h10->m1,-0.052933257,0.052933257,Node(a1.h10),Node(m1)
a1.h11->m1,-0.09242676,0.09242676,Node(a1.h11),Node(m1)
a1.h12->m1,0.07211301,0.07211301,Node(a1.h12),Node(m1)
a1.h13->m1,-0.061635904,0.061635904,Node(a1.h13),Node(m1)
a1.h14->m1,-0.07929151,0.07929151,Node(a1.h14),Node(m1)
a1.h15->m1,0.06539942,0.06539942,Node(a1.h15),Node(m1)
m1->a2.h5<v>,-0.07223523,0.07223523,Node(m1),Node(a2.h5)
m1->a2.h10<q>,0.056930102,0.056930102,Node(m1),Node(a2.h10)
a1.h14->m2,-0.074155815,0.074155815,Node(a1.h14),Node(m2)
a2.h6->m2,0.06263991,0.06263991,Node(a2.h6),Node(m2)
a2.h10->m2,0.060536057,0.060536057,Node(a2.h10),Node(m2)
a2.h14->m2,0.12134008,0.12134008,Node(a2.h14),Node(m2)
m1->a3.h4<q>,-0.060942583,0.060942583,Node(m1),Node(a3.h4)
m2->a3.h5<k>,0.056257546,0.056257546,Node(m2),Node(a3.h5)
a1.h12->m3,-0.054683633,0.054683633,Node(a1.h12),Node(m3)
m1->m3,-0.21013334,0.21013334,Node(m1),Node(m3)
a2.h14->m3,0.059242036,0.059242036,Node(a2.h14),Node(m3)
a2.h15->m3,-0.053558927,0.053558927,Node(a2.h15),Node(m3)
m2->m3,0.1528232,0.1528232,Node(m2),Node(m3)
a3.h0->m3,-0.0638441,0.0638441,Node(a3.h0),Node(m3)
m2->a4.h13<k>,0.062439065,0.062439065,Node(m2),Node(a4.h13)
m3->a4.h13<q>,0.12151407,0.12151407,Node(m3),Node(a4.h13)
m0->m4,-0.0638355,0.0638355,Node(m0),Node(m4)
m1->m4,-0.119735025,0.119735025,Node(m1),Node(m4)
a2.h5->m4,-0.10638621,0.10638621,Node(a2.h5),Node(m4)
m2->m4,0.15303741,0.15303741,Node(m2),Node(m4)
m3->m4,-0.19689775,0.19689775,Node(m3),Node(m4)
a4.h2->m4,0.06533081,0.06533081,Node(a4.h2),Node(m4)
a4.h10->m4,0.05562138,0.05562138,Node(a4.h10),Node(m4)
a4.h13->m4,0.09147149,0.09147149,Node(a4.h13),Node(m4)
m1->m5,0.08861248,0.08861248,Node(m1),Node(m5)
m2->m5,-0.07799891,0.07799891,Node(m2),Node(m5)
a3.h1->m5,0.051718663,0.051718663,Node(a3.h1),Node(m5)
m3->m5,0.11954251,0.11954251,Node(m3),Node(m5)
a4.h13->m5,0.051278874,0.051278874,Node(a4.h13),Node(m5)
a4.h15->m5,0.05452569,0.05452569,Node(a4.h15),Node(m5)
m4->m5,-0.07711573,0.07711573,Node(m4),Node(m5)
a5.h3->m5,-0.068059534,0.068059534,Node(a5.h3),Node(m5)
a5.h10->m5,-0.051302522,0.051302522,Node(a5.h10),Node(m5)
m2->a6.h4<v>,-0.052822046,0.052822046,Node(m2),Node(a6.h4)
m5->a6.h4<v>,0.082819924,0.082819924,Node(m5),Node(a6.h4)
m5->a6.h5<v>,-0.05477042,0.05477042,Node(m5),Node(a6.h5)
a2.h14->m6,-0.096960664,0.096960664,Node(a2.h14),Node(m6)
a3.h1->m6,-0.05575543,0.05575543,Node(a3.h1),Node(m6)
m3->m6,0.20474637,0.20474637,Node(m3),Node(m6)
m4->m6,-0.050559044,0.050559044,Node(m4),Node(m6)
a5.h14->m6,-0.06275602,0.06275602,Node(a5.h14),Node(m6)
a6.h0->m6,0.29822087,0.29822087,Node(a6.h0),Node(m6)
a6.h4->m6,-0.15457368,0.15457368,Node(a6.h4),Node(m6)
a6.h6->m6,-0.056814484,0.056814484,Node(a6.h6),Node(m6)
a6.h12->m6,0.075783946,0.075783946,Node(a6.h12),Node(m6)
m1->a7.h15<v>,-0.07125485,0.07125485,Node(m1),Node(a7.h15)
m4->a7.h6<v>,0.058162402,0.058162402,Node(m4),Node(a7.h6)
m5->a7.h3<q>,-0.06426045,0.06426045,Node(m5),Node(a7.h3)
a6.h10->a7.h15<v>,0.06134502,0.06134502,Node(a6.h10),Node(a7.h15)
m6->a7.h8<v>,-0.07100299,0.07100299,Node(m6),Node(a7.h8)
m0->m7,-0.0672904,0.0672904,Node(m0),Node(m7)
m1->m7,0.13753128,0.13753128,Node(m1),Node(m7)
a2.h14->m7,0.063447855,0.063447855,Node(a2.h14),Node(m7)
m2->m7,-0.05075535,0.05075535,Node(m2),Node(m7)
m3->m7,-0.09481338,0.09481338,Node(m3),Node(m7)
a4.h2->m7,0.056123853,0.056123853,Node(a4.h2),Node(m7)
a4.h13->m7,0.053036697,0.053036697,Node(a4.h13),Node(m7)
a5.h3->m7,-0.10910832,0.10910832,Node(a5.h3),Node(m7)
m5->m7,-0.081958465,0.081958465,Node(m5),Node(m7)
a6.h2->m7,0.076313354,0.076313354,Node(a6.h2),Node(m7)
a6.h3->m7,0.053026088,0.053026088,Node(a6.h3),Node(m7)
a6.h15->m7,0.056418322,0.056418322,Node(a6.h15),Node(m7)
m6->m7,0.13382074,0.13382074,Node(m6),Node(m7)
a7.h1->m7,-0.08081979,0.08081979,Node(a7.h1),Node(m7)
a7.h4->m7,0.054720692,0.054720692,Node(a7.h4),Node(m7)
a7.h6->m7,0.07686218,0.07686218,Node(a7.h6),Node(m7)
a7.h10->m7,-0.052276216,0.052276216,Node(a7.h10),Node(m7)
m5->a8.h7<q>,0.06629646,0.06629646,Node(m5),Node(a8.h7)
