,score,abs_score,source,target
input->m0,0.039815377,0.039815377,Node(input),Node(m0)
a0.h1->m0,0.1359103,0.1359103,Node(a0.h1),Node(m0)
a0.h6->m0,0.027291587,0.027291587,Node(a0.h6),Node(m0)
a0.h7->m0,0.07532569,0.07532569,Node(a0.h7),Node(m0)
a0.h8->m0,-0.02254837,0.02254837,Node(a0.h8),Node(m0)
a0.h9->m0,-0.028348444,0.028348444,Node(a0.h9),Node(m0)
a0.h10->m0,0.06785375,0.06785375,Node(a0.h10),Node(m0)
a0.h11->m0,-0.04958771,0.04958771,Node(a0.h11),Node(m0)
a0.h12->m0,-0.02253604,0.02253604,Node(a0.h12),Node(m0)
input->a1.h3<v>,-0.033256076,0.033256076,Node(input),Node(a1.h3)
input->a1.h5<v>,-0.036337398,0.036337398,Node(input),Node(a1.h5)
m0->a1.h3<v>,0.023664206,0.023664206,Node(m0),Node(a1.h3)
input->m1,-0.090484425,0.090484425,Node(input),Node(m1)
a0.h1->m1,0.06992708,0.06992708,Node(a0.h1),Node(m1)
m0->m1,-0.13778876,0.13778876,Node(m0),Node(m1)
a1.h3->m1,-0.022935456,0.022935456,Node(a1.h3),Node(m1)
a1.h11->m1,-0.02432445,0.02432445,Node(a1.h11),Node(m1)
a1.h12->m1,0.0766159,0.0766159,Node(a1.h12),Node(m1)
a1.h14->m1,-0.05768705,0.05768705,Node(a1.h14),Node(m1)
a1.h15->m1,0.0342825,0.0342825,Node(a1.h15),Node(m1)
m1->a2.h1<v>,-0.027485818,0.027485818,Node(m1),Node(a2.h1)
m1->a2.h2<v>,0.02513366,0.02513366,Node(m1),Node(a2.h2)
m1->a2.h4<q>,-0.02382091,0.02382091,Node(m1),Node(a2.h4)
m1->a2.h5<v>,-0.043840826,0.043840826,Node(m1),Node(a2.h5)
a0.h1->m2,-0.033158287,0.033158287,Node(a0.h1),Node(m2)
m0->m2,0.023569398,0.023569398,Node(m0),Node(m2)
a1.h4->m2,-0.02314221,0.02314221,Node(a1.h4),Node(m2)
m1->m2,0.07168387,0.07168387,Node(m1),Node(m2)
a2.h1->m2,0.025676122,0.025676122,Node(a2.h1),Node(m2)
a2.h5->m2,0.043252658,0.043252658,Node(a2.h5),Node(m2)
a2.h6->m2,0.046419613,0.046419613,Node(a2.h6),Node(m2)
a2.h8->m2,-0.03898426,0.03898426,Node(a2.h8),Node(m2)
m0->a3.h4<q>,-0.02642138,0.02642138,Node(m0),Node(a3.h4)
m1->a3.h4<q>,-0.030592013,0.030592013,Node(m1),Node(a3.h4)
m1->a3.h13<k>,0.026246272,0.026246272,Node(m1),Node(a3.h13)
m2->a3.h5<q>,0.03742473,0.03742473,Node(m2),Node(a3.h5)
m2->a3.h5<k>,0.03247544,0.03247544,Node(m2),Node(a3.h5)
m2->a3.h5<v>,0.026255596,0.026255596,Node(m2),Node(a3.h5)
m2->a3.h13<q>,0.022945367,0.022945367,Node(m2),Node(a3.h13)
m2->a3.h13<v>,0.025445059,0.025445059,Node(m2),Node(a3.h13)
m2->a3.h14<q>,0.033898592,0.033898592,Node(m2),Node(a3.h14)
input->m3,0.02249219,0.02249219,Node(input),Node(m3)
m0->m3,0.03366578,0.03366578,Node(m0),Node(m3)
a2.h13->m3,0.0279354,0.0279354,Node(a2.h13),Node(m3)
m2->m3,0.030252244,0.030252244,Node(m2),Node(m3)
a3.h2->m3,-0.03594963,0.03594963,Node(a3.h2),Node(m3)
a3.h14->m3,0.0299812,0.0299812,Node(a3.h14),Node(m3)
a3.h13->a4.h15<v>,0.024892522,0.024892522,Node(a3.h13),Node(a4.h15)
m3->a4.h13<q>,0.028733123,0.028733123,Node(m3),Node(a4.h13)
m0->m4,-0.026416024,0.026416024,Node(m0),Node(m4)
m1->m4,-0.092470646,0.092470646,Node(m1),Node(m4)
a2.h5->m4,-0.04400702,0.04400702,Node(a2.h5),Node(m4)
m2->m4,-0.04218807,0.04218807,Node(m2),Node(m4)
a3.h13->m4,0.024113752,0.024113752,Node(a3.h13),Node(m4)
m3->m4,-0.07821562,0.07821562,Node(m3),Node(m4)
a4.h8->m4,-0.023237463,0.023237463,Node(a4.h8),Node(m4)
a4.h12->m4,0.025648817,0.025648817,Node(a4.h12),Node(m4)
a4.h15->m4,0.07713706,0.07713706,Node(a4.h15),Node(m4)
a0.h1->m5,0.030865131,0.030865131,Node(a0.h1),Node(m5)
m0->m5,-0.029561486,0.029561486,Node(m0),Node(m5)
a2.h14->m5,-0.02701288,0.02701288,Node(a2.h14),Node(m5)
m2->m5,0.061957747,0.061957747,Node(m2),Node(m5)
m3->m5,0.03967277,0.03967277,Node(m3),Node(m5)
a4.h10->m5,-0.024572954,0.024572954,Node(a4.h10),Node(m5)
m4->m5,-0.059608083,0.059608083,Node(m4),Node(m5)
a5.h8->m5,-0.028931169,0.028931169,Node(a5.h8),Node(m5)
a5.h10->m5,-0.031480476,0.031480476,Node(a5.h10),Node(m5)
m0->a6.h4<v>,-0.024297578,0.024297578,Node(m0),Node(a6.h4)
m1->a6.h4<v>,-0.022314694,0.022314694,Node(m1),Node(a6.h4)
m2->a6.h4<v>,-0.033447668,0.033447668,Node(m2),Node(a6.h4)
m2->a6.h10<v>,0.028923636,0.028923636,Node(m2),Node(a6.h10)
m5->a6.h0<v>,0.032191537,0.032191537,Node(m5),Node(a6.h0)
m5->a6.h4<v>,0.046733927,0.046733927,Node(m5),Node(a6.h4)
m5->a6.h10<v>,-0.047466874,0.047466874,Node(m5),Node(a6.h10)
m5->a6.h14<v>,0.044758614,0.044758614,Node(m5),Node(a6.h14)
