,score,abs_score,source,target
input->m0,-0.23771016,0.23771016,Node(input),Node(m0)
a0.h1->m0,0.048846446,0.048846446,Node(a0.h1),Node(m0)
a0.h5->m0,0.039063614,0.039063614,Node(a0.h5),Node(m0)
a0.h10->m0,-0.08699336,0.08699336,Node(a0.h10),Node(m0)
a0.h11->m0,0.027110998,0.027110998,Node(a0.h11),Node(m0)
m0->a1.h5<q>,0.023273379,0.023273379,Node(m0),Node(a1.h5)
m0->a1.h5<v>,0.022068657,0.022068657,Node(m0),Node(a1.h5)
m0->a1.h12<q>,-0.02913379,0.02913379,Node(m0),Node(a1.h12)
input->m1,-0.058802288,0.058802288,Node(input),Node(m1)
m0->m1,0.07837623,0.07837623,Node(m0),Node(m1)
a1.h5->m1,0.07343054,0.07343054,Node(a1.h5),Node(m1)
a1.h12->m1,-0.050152145,0.050152145,Node(a1.h12),Node(m1)
a1.h14->m1,0.031749625,0.031749625,Node(a1.h14),Node(m1)
m0->a2.h14<v>,0.02341396,0.02341396,Node(m0),Node(a2.h14)
m0->m2,-0.03993067,0.03993067,Node(m0),Node(m2)
a1.h2->m2,0.036309086,0.036309086,Node(a1.h2),Node(m2)
m1->m2,-0.024503944,0.024503944,Node(m1),Node(m2)
a2.h3->m2,0.020772927,0.020772927,Node(a2.h3),Node(m2)
a2.h8->m2,0.035436526,0.035436526,Node(a2.h8),Node(m2)
m2->a3.h5<q>,0.03291139,0.03291139,Node(m2),Node(a3.h5)
m2->a3.h13<v>,0.028829372,0.028829372,Node(m2),Node(a3.h13)
a2.h8->m3,0.026579391,0.026579391,Node(a2.h8),Node(m3)
a2.h13->m3,-0.029329117,0.029329117,Node(a2.h13),Node(m3)
m2->m3,-0.026795296,0.026795296,Node(m2),Node(m3)
a3.h0->m3,-0.03041704,0.03041704,Node(a3.h0),Node(m3)
a3.h5->m3,0.025948863,0.025948863,Node(a3.h5),Node(m3)
a3.h9->m3,-0.026558261,0.026558261,Node(a3.h9),Node(m3)
a3.h13->m3,0.039068457,0.039068457,Node(a3.h13),Node(m3)
m2->a4.h9<v>,-0.02500861,0.02500861,Node(m2),Node(a4.h9)
a1.h12->m4,0.02139072,0.02139072,Node(a1.h12),Node(m4)
a2.h8->m4,-0.038467783,0.038467783,Node(a2.h8),Node(m4)
m2->m4,0.021362722,0.021362722,Node(m2),Node(m4)
a3.h13->m4,-0.051489424,0.051489424,Node(a3.h13),Node(m4)
m3->m4,0.056491323,0.056491323,Node(m3),Node(m4)
a4.h1->m4,0.02487804,0.02487804,Node(a4.h1),Node(m4)
a4.h2->m4,-0.026124364,0.026124364,Node(a4.h2),Node(m4)
a4.h9->m4,-0.072343074,0.072343074,Node(a4.h9),Node(m4)
a4.h13->m4,-0.02114223,0.02114223,Node(a4.h13),Node(m4)
a4.h15->m4,-0.034333568,0.034333568,Node(a4.h15),Node(m4)
m3->a5.h3<k>,0.02123571,0.02123571,Node(m3),Node(a5.h3)
m4->a5.h5<v>,-0.026133522,0.026133522,Node(m4),Node(a5.h5)
m0->m5,-0.027039826,0.027039826,Node(m0),Node(m5)
m1->m5,-0.04017581,0.04017581,Node(m1),Node(m5)
a2.h14->m5,0.028342348,0.028342348,Node(a2.h14),Node(m5)
m2->m5,0.04646827,0.04646827,Node(m2),Node(m5)
a3.h0->m5,-0.02298615,0.02298615,Node(a3.h0),Node(m5)
m3->m5,-0.03500033,0.03500033,Node(m3),Node(m5)
a4.h2->m5,0.03381914,0.03381914,Node(a4.h2),Node(m5)
a4.h12->m5,-0.025023289,0.025023289,Node(a4.h12),Node(m5)
a4.h15->m5,0.021843724,0.021843724,Node(a4.h15),Node(m5)
m4->m5,-0.055717707,0.055717707,Node(m4),Node(m5)
m0->m6,0.023829818,0.023829818,Node(m0),Node(m6)
m1->m6,0.03991141,0.03991141,Node(m1),Node(m6)
a2.h14->m6,-0.024739772,0.024739772,Node(a2.h14),Node(m6)
a3.h0->m6,0.027615327,0.027615327,Node(a3.h0),Node(m6)
a4.h2->m6,-0.033908375,0.033908375,Node(a4.h2),Node(m6)
a4.h10->m6,0.022265978,0.022265978,Node(a4.h10),Node(m6)
a4.h11->m6,-0.021651534,0.021651534,Node(a4.h11),Node(m6)
m4->m6,-0.05038304,0.05038304,Node(m4),Node(m6)
a5.h10->m6,-0.029779013,0.029779013,Node(a5.h10),Node(m6)
a5.h14->m6,0.032890156,0.032890156,Node(a5.h14),Node(m6)
m5->m6,-0.075966656,0.075966656,Node(m5),Node(m6)
a6.h0->m6,0.04417351,0.04417351,Node(a6.h0),Node(m6)
a6.h3->m6,-0.031923436,0.031923436,Node(a6.h3),Node(m6)
a6.h4->m6,-0.032530293,0.032530293,Node(a6.h4),Node(m6)
a6.h5->m6,-0.03001916,0.03001916,Node(a6.h5),Node(m6)
a6.h10->m6,0.025440756,0.025440756,Node(a6.h10),Node(m6)
m3->a7.h6<v>,0.02097021,0.02097021,Node(m3),Node(a7.h6)
a5.h4->a7.h6<v>,-0.023219695,0.023219695,Node(a5.h4),Node(a7.h6)
m5->a7.h2<v>,-0.025213566,0.025213566,Node(m5),Node(a7.h2)
m5->a7.h8<q>,0.029467084,0.029467084,Node(m5),Node(a7.h8)
m5->a7.h11<v>,-0.021583647,0.021583647,Node(m5),Node(a7.h11)
m6->a7.h6<v>,-0.03365106,0.03365106,Node(m6),Node(a7.h6)
m0->m7,0.023680195,0.023680195,Node(m0),Node(m7)
a1.h2->m7,0.023129156,0.023129156,Node(a1.h2),Node(m7)
m2->m7,0.044938028,0.044938028,Node(m2),Node(m7)
m3->m7,0.033811904,0.033811904,Node(m3),Node(m7)
