,score,abs_score,source,target
input->m0,-0.055938076,0.055938076,Node(input),Node(m0)
a0.h1->m0,0.09398415,0.09398415,Node(a0.h1),Node(m0)
a0.h4->m0,-0.035258934,0.035258934,Node(a0.h4),Node(m0)
a0.h6->m0,0.027867042,0.027867042,Node(a0.h6),Node(m0)
a0.h7->m0,0.048207786,0.048207786,Node(a0.h7),Node(m0)
a0.h10->m0,0.058612205,0.058612205,Node(a0.h10),Node(m0)
a0.h11->m0,-0.027809627,0.027809627,Node(a0.h11),Node(m0)
a0.h13->m0,0.021862617,0.021862617,Node(a0.h13),Node(m0)
m0->a1.h7<q>,0.022108272,0.022108272,Node(m0),Node(a1.h7)
m0->a1.h11<q>,-0.022106586,0.022106586,Node(m0),Node(a1.h11)
input->m1,-0.04347923,0.04347923,Node(input),Node(m1)
a0.h1->m1,0.032207847,0.032207847,Node(a0.h1),Node(m1)
m0->m1,-0.08030835,0.08030835,Node(m0),Node(m1)
a1.h3->m1,-0.021120619,0.021120619,Node(a1.h3),Node(m1)
a1.h5->m1,-0.034561537,0.034561537,Node(a1.h5),Node(m1)
m0->a2.h3<k>,0.020410068,0.020410068,Node(m0),Node(a2.h3)
a0.h1->m2,-0.023326328,0.023326328,Node(a0.h1),Node(m2)
m0->m2,0.03706272,0.03706272,Node(m0),Node(m2)
a1.h2->m2,-0.06651381,0.06651381,Node(a1.h2),Node(m2)
a1.h4->m2,0.0362522,0.0362522,Node(a1.h4),Node(m2)
a1.h14->m2,-0.030212674,0.030212674,Node(a1.h14),Node(m2)
a2.h6->m2,0.023378236,0.023378236,Node(a2.h6),Node(m2)
a2.h10->m2,0.0263976,0.0263976,Node(a2.h10),Node(m2)
m0->a3.h4<q>,-0.020204712,0.020204712,Node(m0),Node(a3.h4)
m1->a3.h4<q>,-0.03054083,0.03054083,Node(m1),Node(a3.h4)
m2->a3.h0<v>,-0.023682605,0.023682605,Node(m2),Node(a3.h0)
m2->a3.h13<v>,-0.041189384,0.041189384,Node(m2),Node(a3.h13)
m2->a3.h14<q>,0.020844452,0.020844452,Node(m2),Node(a3.h14)
m0->m3,0.037270244,0.037270244,Node(m0),Node(m3)
a1.h4->m3,-0.030376863,0.030376863,Node(a1.h4),Node(m3)
a1.h15->m3,0.019604322,0.019604322,Node(a1.h15),Node(m3)
m1->m3,-0.07225606,0.07225606,Node(m1),Node(m3)
a2.h8->m3,-0.03946806,0.03946806,Node(a2.h8),Node(m3)
a2.h14->m3,0.0385123,0.0385123,Node(a2.h14),Node(m3)
m2->m3,0.049226508,0.049226508,Node(m2),Node(m3)
a3.h0->m3,-0.03174539,0.03174539,Node(a3.h0),Node(m3)
a3.h3->m3,-0.025850493,0.025850493,Node(a3.h3),Node(m3)
a3.h4->m3,-0.023396112,0.023396112,Node(a3.h4),Node(m3)
a3.h5->m3,-0.027223792,0.027223792,Node(a3.h5),Node(m3)
a3.h9->m3,0.02725736,0.02725736,Node(a3.h9),Node(m3)
a3.h14->m3,0.036144845,0.036144845,Node(a3.h14),Node(m3)
m1->a4.h11<v>,-0.022089578,0.022089578,Node(m1),Node(a4.h11)
m3->a4.h9<q>,0.03161882,0.03161882,Node(m3),Node(a4.h9)
m3->a4.h13<q>,0.045189604,0.045189604,Node(m3),Node(a4.h13)
m0->m4,-0.040330846,0.040330846,Node(m0),Node(m4)
m1->m4,-0.037990466,0.037990466,Node(m1),Node(m4)
m2->m4,-0.022713795,0.022713795,Node(m2),Node(m4)
a3.h0->m4,0.0227843,0.0227843,Node(a3.h0),Node(m4)
m3->m4,-0.15892532,0.15892532,Node(m3),Node(m4)
a4.h2->m4,0.023953443,0.023953443,Node(a4.h2),Node(m4)
a4.h11->m4,0.020352188,0.020352188,Node(a4.h11),Node(m4)
a4.h13->m4,0.023380522,0.023380522,Node(a4.h13),Node(m4)
m4->a5.h10<v>,0.02002641,0.02002641,Node(m4),Node(a5.h10)
a1.h2->m5,-0.019999234,0.019999234,Node(a1.h2),Node(m5)
m2->m5,-0.035405766,0.035405766,Node(m2),Node(m5)
a3.h1->m5,0.02215574,0.02215574,Node(a3.h1),Node(m5)
m3->m5,0.09275207,0.09275207,Node(m3),Node(m5)
a4.h2->m5,-0.0313844,0.0313844,Node(a4.h2),Node(m5)
a4.h9->m5,0.032571726,0.032571726,Node(a4.h9),Node(m5)
a4.h13->m5,0.022863537,0.022863537,Node(a4.h13),Node(m5)
m4->m5,-0.045140594,0.045140594,Node(m4),Node(m5)
a5.h3->m5,-0.02937462,0.02937462,Node(a5.h3),Node(m5)
m2->a6.h12<v>,-0.023068642,0.023068642,Node(m2),Node(a6.h12)
m5->a6.h4<v>,0.03513731,0.03513731,Node(m5),Node(a6.h4)
m5->a6.h12<v>,0.021123052,0.021123052,Node(m5),Node(a6.h12)
m5->a6.h14<v>,0.029396301,0.029396301,Node(m5),Node(a6.h14)
m5->a6.h15<k>,-0.019644342,0.019644342,Node(m5),Node(a6.h15)
m0->m6,0.028637886,0.028637886,Node(m0),Node(m6)
a2.h14->m6,-0.03435632,0.03435632,Node(a2.h14),Node(m6)
m2->m6,0.057127606,0.057127606,Node(m2),Node(m6)
m3->m6,0.051032804,0.051032804,Node(m3),Node(m6)
m4->m6,0.06493248,0.06493248,Node(m4),Node(m6)
a5.h3->m6,-0.019809302,0.019809302,Node(a5.h3),Node(m6)
a5.h11->m6,0.023829661,0.023829661,Node(a5.h11),Node(m6)
m5->m6,-0.07084377,0.07084377,Node(m5),Node(m6)
a6.h0->m6,0.067469224,0.067469224,Node(a6.h0),Node(m6)
a6.h4->m6,-0.06257809,0.06257809,Node(a6.h4),Node(m6)
a6.h5->m6,-0.031723328,0.031723328,Node(a6.h5),Node(m6)
a6.h10->m6,-0.033772163,0.033772163,Node(a6.h10),Node(m6)
a6.h12->m6,0.069584705,0.069584705,Node(a6.h12),Node(m6)
m5->a7.h1<q>,0.021040611,0.021040611,Node(m5),Node(a7.h1)
m5->a7.h6<v>,0.04365378,0.04365378,Node(m5),Node(a7.h6)
m5->a7.h8<q>,-0.021505794,0.021505794,Node(m5),Node(a7.h8)
m1->m7,0.043035388,0.043035388,Node(m1),Node(m7)
m2->m7,-0.02488431,0.02488431,Node(m2),Node(m7)
m3->m7,-0.032969788,0.032969788,Node(m3),Node(m7)
a5.h3->m7,-0.04007815,0.04007815,Node(a5.h3),Node(m7)
m5->m7,0.023772128,0.023772128,Node(m5),Node(m7)
a6.h4->m7,-0.020588322,0.020588322,Node(a6.h4),Node(m7)
a6.h8->m7,0.023244057,0.023244057,Node(a6.h8),Node(m7)
a6.h14->m7,0.02115843,0.02115843,Node(a6.h14),Node(m7)
a6.h15->m7,0.027355902,0.027355902,Node(a6.h15),Node(m7)
m6->m7,-0.034923863,0.034923863,Node(m6),Node(m7)
a7.h1->m7,0.021754555,0.021754555,Node(a7.h1),Node(m7)
a7.h3->m7,0.024340801,0.024340801,Node(a7.h3),Node(m7)
a7.h6->m7,0.032840982,0.032840982,Node(a7.h6),Node(m7)
a7.h15->m7,0.02159873,0.02159873,Node(a7.h15),Node(m7)
m3->a8.h10<k>,0.022082767,0.022082767,Node(m3),Node(a8.h10)
m5->a8.h1<q>,0.032935247,0.032935247,Node(m5),Node(a8.h1)
m5->a8.h7<q>,0.02221343,0.02221343,Node(m5),Node(a8.h7)
m6->a8.h4<v>,-0.025827032,0.025827032,Node(m6),Node(a8.h4)
m6->a8.h10<k>,0.01960181,0.01960181,Node(m6),Node(a8.h10)
m7->a8.h3<v>,0.03148597,0.03148597,Node(m7),Node(a8.h3)
m7->a8.h10<k>,0.023440592,0.023440592,Node(m7),Node(a8.h10)
m7->a8.h10<v>,0.021255447,0.021255447,Node(m7),Node(a8.h10)
m7->a8.h12<v>,-0.02067433,0.02067433,Node(m7),Node(a8.h12)
m7->a8.h13<v>,-0.027133955,0.027133955,Node(m7),Node(a8.h13)
a2.h14->m8,0.033627935,0.033627935,Node(a2.h14),Node(m8)
a3.h0->m8,0.027219018,0.027219018,Node(a3.h0),Node(m8)
a3.h14->m8,-0.022980459,0.022980459,Node(a3.h14),Node(m8)
m3->m8,-0.13855702,0.13855702,Node(m3),Node(m8)
a4.h2->m8,-0.022520334,0.022520334,Node(a4.h2),Node(m8)
m4->m8,-0.02613097,0.02613097,Node(m4),Node(m8)
a5.h3->m8,-0.043203108,0.043203108,Node(a5.h3),Node(m8)
a5.h5->m8,0.037553687,0.037553687,Node(a5.h5),Node(m8)
a5.h9->m8,-0.02758047,0.02758047,Node(a5.h9),Node(m8)
m5->m8,0.04303567,0.04303567,Node(m5),Node(m8)
a6.h0->m8,-0.028346926,0.028346926,Node(a6.h0),Node(m8)
a6.h2->m8,0.021605447,0.021605447,Node(a6.h2),Node(m8)
a6.h3->m8,0.042219587,0.042219587,Node(a6.h3),Node(m8)
a6.h10->m8,-0.03202268,0.03202268,Node(a6.h10),Node(m8)
a6.h14->m8,0.021005984,0.021005984,Node(a6.h14),Node(m8)
a6.h15->m8,0.02150285,0.02150285,Node(a6.h15),Node(m8)
m6->m8,-0.1720786,0.1720786,Node(m6),Node(m8)
a7.h1->m8,-0.046916984,0.046916984,Node(a7.h1),Node(m8)
a7.h2->m8,0.12897883,0.12897883,Node(a7.h2),Node(m8)
a7.h3->m8,-0.057646226,0.057646226,Node(a7.h3),Node(m8)
a7.h6->m8,0.07034422,0.07034422,Node(a7.h6),Node(m8)
a7.h7->m8,0.024704218,0.024704218,Node(a7.h7),Node(m8)
a7.h8->m8,0.056141734,0.056141734,Node(a7.h8),Node(m8)
m7->m8,0.12354073,0.12354073,Node(m7),Node(m8)
a8.h0->m8,0.035392366,0.035392366,Node(a8.h0),Node(m8)
a8.h1->m8,0.08092297,0.08092297,Node(a8.h1),Node(m8)
a8.h3->m8,-0.062409695,0.062409695,Node(a8.h3),Node(m8)
a8.h5->m8,0.024049819,0.024049819,Node(a8.h5),Node(m8)
a8.h8->m8,-0.0998583,0.0998583,Node(a8.h8),Node(m8)
a8.h9->m8,0.043929677,0.043929677,Node(a8.h9),Node(m8)
a8.h10->m8,0.022047363,0.022047363,Node(a8.h10),Node(m8)
a8.h12->m8,0.03893909,0.03893909,Node(a8.h12),Node(m8)
a8.h15->m8,0.019521808,0.019521808,Node(a8.h15),Node(m8)
a7.h2->a9.h7<v>,0.024736289,0.024736289,Node(a7.h2),Node(a9.h7)
m7->a9.h1<v>,-0.031348944,0.031348944,Node(m7),Node(a9.h1)
m7->a9.h7<v>,0.025614675,0.025614675,Node(m7),Node(a9.h7)
m7->a9.h15<q>,-0.026311334,0.026311334,Node(m7),Node(a9.h15)
a8.h1->a9.h7<v>,0.02032791,0.02032791,Node(a8.h1),Node(a9.h7)
a8.h3->a9.h7<v>,-0.02048411,0.02048411,Node(a8.h3),Node(a9.h7)
a8.h8->a9.h5<q>,0.033168405,0.033168405,Node(a8.h8),Node(a9.h5)
a8.h8->a9.h5<k>,0.019965935,0.019965935,Node(a8.h8),Node(a9.h5)
