,score,abs_score,source,target
a0.h1->m0,0.21829247,0.21829247,Node(a0.h1),Node(m0)
a0.h6->m0,0.04188963,0.04188963,Node(a0.h6),Node(m0)
a0.h7->m0,0.046621006,0.046621006,Node(a0.h7),Node(m0)
a0.h10->m0,0.05256867,0.05256867,Node(a0.h10),Node(m0)
a0.h11->m0,-0.08440163,0.08440163,Node(a0.h11),Node(m0)
a0.h12->m0,-0.06981695,0.06981695,Node(a0.h12),Node(m0)
a0.h13->m0,0.033853374,0.033853374,Node(a0.h13),Node(m0)
a0.h15->m0,-0.06532335,0.06532335,Node(a0.h15),Node(m0)
input->a1.h2<v>,-0.036678772,0.036678772,Node(input),Node(a1.h2)
input->a1.h10<v>,0.036734708,0.036734708,Node(input),Node(a1.h10)
a0.h1->a1.h3<v>,-0.03359594,0.03359594,Node(a0.h1),Node(a1.h3)
m0->a1.h2<q>,-0.035098843,0.035098843,Node(m0),Node(a1.h2)
m0->a1.h4<q>,0.040496252,0.040496252,Node(m0),Node(a1.h4)
input->m1,-0.12485524,0.12485524,Node(input),Node(m1)
a0.h1->m1,0.0636855,0.0636855,Node(a0.h1),Node(m1)
m0->m1,-0.22246885,0.22246885,Node(m0),Node(m1)
a1.h3->m1,-0.07554202,0.07554202,Node(a1.h3),Node(m1)
a1.h4->m1,0.037601728,0.037601728,Node(a1.h4),Node(m1)
a1.h5->m1,-0.04294453,0.04294453,Node(a1.h5),Node(m1)
a1.h14->m1,-0.048658304,0.048658304,Node(a1.h14),Node(m1)
m0->a2.h3<v>,-0.037619762,0.037619762,Node(m0),Node(a2.h3)
m1->a2.h3<k>,-0.033919282,0.033919282,Node(m1),Node(a2.h3)
input->m2,0.04292982,0.04292982,Node(input),Node(m2)
m0->m2,0.061424,0.061424,Node(m0),Node(m2)
a1.h2->m2,-0.09258121,0.09258121,Node(a1.h2),Node(m2)
a1.h4->m2,0.064962,0.064962,Node(a1.h4),Node(m2)
a1.h5->m2,-0.038963772,0.038963772,Node(a1.h5),Node(m2)
a1.h14->m2,-0.040867217,0.040867217,Node(a1.h14),Node(m2)
a2.h6->m2,0.06357297,0.06357297,Node(a2.h6),Node(m2)
a2.h9->m2,-0.03541295,0.03541295,Node(a2.h9),Node(m2)
a2.h10->m2,0.06720409,0.06720409,Node(a2.h10),Node(m2)
m1->a3.h4<q>,-0.054979533,0.054979533,Node(m1),Node(a3.h4)
m1->a3.h14<v>,0.040641557,0.040641557,Node(m1),Node(a3.h14)
input->m3,0.039750528,0.039750528,Node(input),Node(m3)
a1.h4->m3,-0.053393215,0.053393215,Node(a1.h4),Node(m3)
a1.h5->m3,0.034894284,0.034894284,Node(a1.h5),Node(m3)
a1.h11->m3,-0.039049886,0.039049886,Node(a1.h11),Node(m3)
m1->m3,-0.12247963,0.12247963,Node(m1),Node(m3)
a2.h5->m3,0.04215778,0.04215778,Node(a2.h5),Node(m3)
a2.h14->m3,0.054120403,0.054120403,Node(a2.h14),Node(m3)
a2.h15->m3,-0.039712787,0.039712787,Node(a2.h15),Node(m3)
m2->m3,0.09017916,0.09017916,Node(m2),Node(m3)
a3.h5->m3,-0.03607818,0.03607818,Node(a3.h5),Node(m3)
a3.h9->m3,0.06604228,0.06604228,Node(a3.h9),Node(m3)
a3.h14->m3,0.03544805,0.03544805,Node(a3.h14),Node(m3)
m0->a4.h13<q>,0.033502124,0.033502124,Node(m0),Node(a4.h13)
m2->a4.h13<k>,0.048505127,0.048505127,Node(m2),Node(a4.h13)
m3->a4.h13<q>,0.09936323,0.09936323,Node(m3),Node(a4.h13)
input->m4,0.033712953,0.033712953,Node(input),Node(m4)
m0->m4,-0.056953274,0.056953274,Node(m0),Node(m4)
m1->m4,-0.076152764,0.076152764,Node(m1),Node(m4)
a2.h5->m4,-0.06192739,0.06192739,Node(a2.h5),Node(m4)
a2.h8->m4,0.036524743,0.036524743,Node(a2.h8),Node(m4)
a3.h3->m4,0.034343526,0.034343526,Node(a3.h3),Node(m4)
m3->m4,-0.14066559,0.14066559,Node(m3),Node(m4)
a4.h2->m4,0.037418567,0.037418567,Node(a4.h2),Node(m4)
a4.h8->m4,0.042971015,0.042971015,Node(a4.h8),Node(m4)
a4.h12->m4,0.058362436,0.058362436,Node(a4.h12),Node(m4)
a4.h13->m4,0.0437032,0.0437032,Node(a4.h13),Node(m4)
a4.h15->m4,0.061906513,0.061906513,Node(a4.h15),Node(m4)
a1.h2->m5,-0.04573863,0.04573863,Node(a1.h2),Node(m5)
a1.h5->m5,0.03686376,0.03686376,Node(a1.h5),Node(m5)
a2.h14->m5,-0.035486247,0.035486247,Node(a2.h14),Node(m5)
a3.h1->m5,0.04138399,0.04138399,Node(a3.h1),Node(m5)
m3->m5,0.13383974,0.13383974,Node(m3),Node(m5)
a4.h11->m5,0.058888685,0.058888685,Node(a4.h11),Node(m5)
a4.h13->m5,0.039867237,0.039867237,Node(a4.h13),Node(m5)
a4.h15->m5,-0.037736617,0.037736617,Node(a4.h15),Node(m5)
m4->m5,-0.11977261,0.11977261,Node(m4),Node(m5)
a5.h3->m5,-0.055385247,0.055385247,Node(a5.h3),Node(m5)
a5.h9->m5,-0.04401373,0.04401373,Node(a5.h9),Node(m5)
a5.h10->m5,-0.03542919,0.03542919,Node(a5.h10),Node(m5)
m1->a6.h4<v>,-0.042790096,0.042790096,Node(m1),Node(a6.h4)
m2->a6.h4<v>,-0.046358373,0.046358373,Node(m2),Node(a6.h4)
m5->a6.h4<v>,0.052262746,0.052262746,Node(m5),Node(a6.h4)
m5->a6.h5<q>,-0.039934173,0.039934173,Node(m5),Node(a6.h5)
m5->a6.h10<v>,-0.051126998,0.051126998,Node(m5),Node(a6.h10)
m5->a6.h14<k>,-0.035840362,0.035840362,Node(m5),Node(a6.h14)
m5->a6.h15<k>,-0.040793333,0.040793333,Node(m5),Node(a6.h15)
input->m6,0.03427571,0.03427571,Node(input),Node(m6)
m1->m6,0.06328309,0.06328309,Node(m1),Node(m6)
a2.h14->m6,-0.067479864,0.067479864,Node(a2.h14),Node(m6)
m2->m6,0.12677342,0.12677342,Node(m2),Node(m6)
a3.h1->m6,-0.0404005,0.0404005,Node(a3.h1),Node(m6)
a3.h13->m6,-0.05291238,0.05291238,Node(a3.h13),Node(m6)
m3->m6,0.22477856,0.22477856,Node(m3),Node(m6)
m4->m6,0.08678247,0.08678247,Node(m4),Node(m6)
a5.h3->m6,-0.041677378,0.041677378,Node(a5.h3),Node(m6)
a5.h4->m6,-0.035052627,0.035052627,Node(a5.h4),Node(m6)
a5.h5->m6,-0.037701346,0.037701346,Node(a5.h5),Node(m6)
a5.h8->m6,0.0363346,0.0363346,Node(a5.h8),Node(m6)
a5.h14->m6,-0.052821852,0.052821852,Node(a5.h14),Node(m6)
a6.h0->m6,0.10034731,0.10034731,Node(a6.h0),Node(m6)
a6.h4->m6,-0.10340075,0.10340075,Node(a6.h4),Node(m6)
a6.h10->m6,-0.08806461,0.08806461,Node(a6.h10),Node(m6)
a6.h12->m6,-0.08779077,0.08779077,Node(a6.h12),Node(m6)
a6.h13->m6,0.043647405,0.043647405,Node(a6.h13),Node(m6)
m6->a7.h2<k>,0.05648468,0.05648468,Node(m6),Node(a7.h2)
m6->a7.h2<v>,-0.057108253,0.057108253,Node(m6),Node(a7.h2)
m6->a7.h6<v>,-0.045378804,0.045378804,Node(m6),Node(a7.h6)
m1->m7,0.1315836,0.1315836,Node(m1),Node(m7)
a2.h14->m7,0.052800026,0.052800026,Node(a2.h14),Node(m7)
m2->m7,0.108561635,0.108561635,Node(m2),Node(m7)
a3.h14->m7,-0.03560589,0.03560589,Node(a3.h14),Node(m7)
m4->m7,0.04149515,0.04149515,Node(m4),Node(m7)
a6.h0->m7,0.12927029,0.12927029,Node(a6.h0),Node(m7)
a6.h2->m7,0.043700915,0.043700915,Node(a6.h2),Node(m7)
a6.h3->m7,0.051217295,0.051217295,Node(a6.h3),Node(m7)
a6.h8->m7,0.042606205,0.042606205,Node(a6.h8),Node(m7)
a6.h10->m7,-0.036352392,0.036352392,Node(a6.h10),Node(m7)
m6->m7,-0.04954217,0.04954217,Node(m6),Node(m7)
a7.h1->m7,-0.04942585,0.04942585,Node(a7.h1),Node(m7)
a7.h2->m7,-0.05333833,0.05333833,Node(a7.h2),Node(m7)
m5->a8.h11<q>,-0.051416337,0.051416337,Node(m5),Node(a8.h11)
m1->m8,-0.047674596,0.047674596,Node(m1),Node(m8)
a2.h14->m8,0.054705065,0.054705065,Node(a2.h14),Node(m8)
a3.h0->m8,0.057596207,0.057596207,Node(a3.h0),Node(m8)
a3.h1->m8,0.048509352,0.048509352,Node(a3.h1),Node(m8)
a3.h14->m8,-0.041523434,0.041523434,Node(a3.h14),Node(m8)
m3->m8,-0.2729541,0.2729541,Node(m3),Node(m8)
a5.h3->m8,-0.066172466,0.066172466,Node(a5.h3),Node(m8)
a5.h5->m8,0.0584913,0.0584913,Node(a5.h5),Node(m8)
a5.h9->m8,-0.046920463,0.046920463,Node(a5.h9),Node(m8)
m5->m8,0.10927775,0.10927775,Node(m5),Node(m8)
a6.h0->m8,-0.055635266,0.055635266,Node(a6.h0),Node(m8)
a6.h1->m8,0.05967951,0.05967951,Node(a6.h1),Node(m8)
a6.h12->m8,-0.06241263,0.06241263,Node(a6.h12),Node(m8)
a6.h14->m8,0.056142427,0.056142427,Node(a6.h14),Node(m8)
a6.h15->m8,0.034586992,0.034586992,Node(a6.h15),Node(m8)
m6->m8,-0.2201513,0.2201513,Node(m6),Node(m8)
a7.h2->m8,0.17489779,0.17489779,Node(a7.h2),Node(m8)
a7.h3->m8,-0.07108769,0.07108769,Node(a7.h3),Node(m8)
a7.h6->m8,0.17834759,0.17834759,Node(a7.h6),Node(m8)
a7.h8->m8,0.049339823,0.049339823,Node(a7.h8),Node(m8)
m7->m8,0.26306206,0.26306206,Node(m7),Node(m8)
a8.h0->m8,0.045841835,0.045841835,Node(a8.h0),Node(m8)
a8.h1->m8,0.08034874,0.08034874,Node(a8.h1),Node(m8)
a8.h3->m8,-0.11861609,0.11861609,Node(a8.h3),Node(m8)
a8.h5->m8,0.056079965,0.056079965,Node(a8.h5),Node(m8)
a8.h6->m8,0.050835073,0.050835073,Node(a8.h6),Node(m8)
a8.h8->m8,-0.09230926,0.09230926,Node(a8.h8),Node(m8)
a8.h9->m8,0.055951163,0.055951163,Node(a8.h9),Node(m8)
a8.h10->m8,0.08227047,0.08227047,Node(a8.h10),Node(m8)
a8.h11->m8,-0.055428546,0.055428546,Node(a8.h11),Node(m8)
a8.h12->m8,0.03791196,0.03791196,Node(a8.h12),Node(m8)
a8.h13->m8,0.035075683,0.035075683,Node(a8.h13),Node(m8)
m5->a9.h7<q>,0.03585356,0.03585356,Node(m5),Node(a9.h7)
a7.h2->a9.h7<v>,0.034903884,0.034903884,Node(a7.h2),Node(a9.h7)
a7.h2->a9.h15<v>,-0.035167594,0.035167594,Node(a7.h2),Node(a9.h15)
a7.h6->a9.h15<v>,-0.04278464,0.04278464,Node(a7.h6),Node(a9.h15)
m7->a9.h1<v>,-0.0678646,0.0678646,Node(m7),Node(a9.h1)
m7->a9.h7<v>,0.06521735,0.06521735,Node(m7),Node(a9.h7)
m7->a9.h8<q>,0.036667302,0.036667302,Node(m7),Node(a9.h8)
m7->a9.h15<q>,-0.05424142,0.05424142,Node(m7),Node(a9.h15)
a8.h3->a9.h7<v>,-0.039173197,0.039173197,Node(a8.h3),Node(a9.h7)
a8.h8->a9.h5<q>,0.05308903,0.05308903,Node(a8.h8),Node(a9.h5)
a8.h8->a9.h7<q>,-0.03984597,0.03984597,Node(a8.h8),Node(a9.h7)
a8.h8->a9.h7<v>,-0.059726115,0.059726115,Node(a8.h8),Node(a9.h7)
a8.h8->a9.h15<q>,0.038081422,0.038081422,Node(a8.h8),Node(a9.h15)
a8.h10->a9.h7<v>,0.03508053,0.03508053,Node(a8.h10),Node(a9.h7)
a8.h10->a9.h15<q>,0.042818855,0.042818855,Node(a8.h10),Node(a9.h15)
a8.h10->a9.h15<v>,-0.052468143,0.052468143,Node(a8.h10),Node(a9.h15)
m8->a9.h1<v>,0.037343502,0.037343502,Node(m8),Node(a9.h1)
m8->a9.h7<v>,-0.03598365,0.03598365,Node(m8),Node(a9.h7)
m1->m9,-0.04930678,0.04930678,Node(m1),Node(m9)
a4.h2->m9,0.044358023,0.044358023,Node(a4.h2),Node(m9)
m4->m9,-0.10235272,0.10235272,Node(m4),Node(m9)
a5.h3->m9,0.052600957,0.052600957,Node(a5.h3),Node(m9)
m5->m9,-0.12507446,0.12507446,Node(m5),Node(m9)
a6.h3->m9,-0.039135423,0.039135423,Node(a6.h3),Node(m9)
a6.h10->m9,0.04690028,0.04690028,Node(a6.h10),Node(m9)
a6.h12->m9,0.040830925,0.040830925,Node(a6.h12),Node(m9)
a6.h15->m9,-0.035520554,0.035520554,Node(a6.h15),Node(m9)
m6->m9,-0.07329176,0.07329176,Node(m6),Node(m9)
a7.h2->m9,-0.11898206,0.11898206,Node(a7.h2),Node(m9)
a7.h6->m9,0.038851984,0.038851984,Node(a7.h6),Node(m9)
m7->m9,-0.18884963,0.18884963,Node(m7),Node(m9)
a8.h1->m9,-0.03503321,0.03503321,Node(a8.h1),Node(m9)
a8.h4->m9,0.08677548,0.08677548,Node(a8.h4),Node(m9)
a8.h8->m9,0.03807193,0.03807193,Node(a8.h8),Node(m9)
a8.h12->m9,-0.06025907,0.06025907,Node(a8.h12),Node(m9)
m8->m9,0.12601268,0.12601268,Node(m8),Node(m9)
a9.h1->m9,-0.053426325,0.053426325,Node(a9.h1),Node(m9)
a9.h6->m9,0.042675704,0.042675704,Node(a9.h6),Node(m9)
a9.h7->m9,0.16759083,0.16759083,Node(a9.h7),Node(m9)
a9.h14->m9,0.05310136,0.05310136,Node(a9.h14),Node(m9)
a9.h15->m9,-0.048359685,0.048359685,Node(a9.h15),Node(m9)
a8.h8->a10.h8<q>,-0.05964478,0.05964478,Node(a8.h8),Node(a10.h8)
a8.h8->a10.h8<v>,-0.036863517,0.036863517,Node(a8.h8),Node(a10.h8)
m8->a10.h9<q>,0.04145088,0.04145088,Node(m8),Node(a10.h9)
m8->a10.h12<q>,-0.044149205,0.044149205,Node(m8),Node(a10.h12)
m8->a10.h15<q>,0.070457235,0.070457235,Node(m8),Node(a10.h15)
m8->a10.h15<v>,0.038586803,0.038586803,Node(m8),Node(a10.h15)
a9.h6->a10.h5<k>,-0.038513295,0.038513295,Node(a9.h6),Node(a10.h5)
m9->a10.h0<v>,0.038714938,0.038714938,Node(m9),Node(a10.h0)
m9->a10.h15<q>,-0.04474638,0.04474638,Node(m9),Node(a10.h15)
m1->m10,-0.05071582,0.05071582,Node(m1),Node(m10)
m3->m10,-0.050767265,0.050767265,Node(m3),Node(m10)
m5->m10,0.038907245,0.038907245,Node(m5),Node(m10)
a6.h2->m10,0.07891305,0.07891305,Node(a6.h2),Node(m10)
m6->m10,-0.047249686,0.047249686,Node(m6),Node(m10)
a7.h6->m10,-0.048803777,0.048803777,Node(a7.h6),Node(m10)
a8.h1->m10,-0.054176074,0.054176074,Node(a8.h1),Node(m10)
a8.h10->m10,-0.035528407,0.035528407,Node(a8.h10),Node(m10)
m8->m10,0.17102543,0.17102543,Node(m8),Node(m10)
a9.h1->m10,0.046912264,0.046912264,Node(a9.h1),Node(m10)
a9.h7->m10,-0.0409722,0.0409722,Node(a9.h7),Node(m10)
a9.h14->m10,0.044048887,0.044048887,Node(a9.h14),Node(m10)
