,score,abs_score,source,target
input->m0,-0.08478136,0.08478136,Node(input),Node(m0)
a0.h1->m0,0.10804486,0.10804486,Node(a0.h1),Node(m0)
a0.h2->m0,-0.020319462,0.020319462,Node(a0.h2),Node(m0)
a0.h5->m0,0.029990187,0.029990187,Node(a0.h5),Node(m0)
a0.h6->m0,0.02168518,0.02168518,Node(a0.h6),Node(m0)
a0.h7->m0,0.031426445,0.031426445,Node(a0.h7),Node(m0)
a0.h10->m0,-0.047613367,0.047613367,Node(a0.h10),Node(m0)
a0.h11->m0,-0.049934976,0.049934976,Node(a0.h11),Node(m0)
a0.h15->m0,-0.06175109,0.06175109,Node(a0.h15),Node(m0)
input->a1.h5<v>,-0.021655243,0.021655243,Node(input),Node(a1.h5)
m0->m1,-0.03965011,0.03965011,Node(m0),Node(m1)
a1.h3->m1,-0.05200083,0.05200083,Node(a1.h3),Node(m1)
a1.h4->m1,-0.021270474,0.021270474,Node(a1.h4),Node(m1)
a1.h11->m1,-0.051393103,0.051393103,Node(a1.h11),Node(m1)
a1.h13->m1,-0.022208959,0.022208959,Node(a1.h13),Node(m1)
a1.h14->m1,0.02131327,0.02131327,Node(a1.h14),Node(m1)
m0->a2.h10<q>,0.018625628,0.018625628,Node(m0),Node(a2.h10)
a1.h3->a2.h6<v>,0.018457115,0.018457115,Node(a1.h3),Node(a2.h6)
m1->a2.h3<q>,0.02144131,0.02144131,Node(m1),Node(a2.h3)
m1->a2.h5<v>,-0.030122962,0.030122962,Node(m1),Node(a2.h5)
m1->a2.h10<q>,0.031689446,0.031689446,Node(m1),Node(a2.h10)
m0->m2,0.02177807,0.02177807,Node(m0),Node(m2)
a1.h2->m2,-0.026944667,0.026944667,Node(a1.h2),Node(m2)
a1.h12->m2,0.019435033,0.019435033,Node(a1.h12),Node(m2)
a1.h14->m2,-0.018654302,0.018654302,Node(a1.h14),Node(m2)
m1->m2,-0.029969737,0.029969737,Node(m1),Node(m2)
a2.h6->m2,0.018841878,0.018841878,Node(a2.h6),Node(m2)
a2.h13->m2,0.020353425,0.020353425,Node(a2.h13),Node(m2)
m2->a3.h5<q>,-0.020100653,0.020100653,Node(m2),Node(a3.h5)
a0.h1->m3,-0.019108014,0.019108014,Node(a0.h1),Node(m3)
m0->m3,0.039112426,0.039112426,Node(m0),Node(m3)
a1.h12->m3,-0.030119404,0.030119404,Node(a1.h12),Node(m3)
a2.h2->m3,0.022561017,0.022561017,Node(a2.h2),Node(m3)
a2.h14->m3,0.035841748,0.035841748,Node(a2.h14),Node(m3)
a3.h9->m3,0.018407587,0.018407587,Node(a3.h9),Node(m3)
m1->m4,-0.03719926,0.03719926,Node(m1),Node(m4)
m2->m4,-0.09318739,0.09318739,Node(m2),Node(m4)
a3.h3->m4,0.022927789,0.022927789,Node(a3.h3),Node(m4)
a3.h14->m4,-0.023082092,0.023082092,Node(a3.h14),Node(m4)
m3->m4,-0.03916213,0.03916213,Node(m3),Node(m4)
a4.h2->m4,0.03331861,0.03331861,Node(a4.h2),Node(m4)
a4.h8->m4,0.02368125,0.02368125,Node(a4.h8),Node(m4)
a4.h12->m4,0.019505728,0.019505728,Node(a4.h12),Node(m4)
a4.h13->m4,0.029752254,0.029752254,Node(a4.h13),Node(m4)
m4->a5.h3<v>,-0.021221898,0.021221898,Node(m4),Node(a5.h3)
a0.h1->m5,0.017867219,0.017867219,Node(a0.h1),Node(m5)
a2.h14->m5,-0.022816598,0.022816598,Node(a2.h14),Node(m5)
m2->m5,0.035845324,0.035845324,Node(m2),Node(m5)
m3->m5,0.067958295,0.067958295,Node(m3),Node(m5)
a4.h11->m5,-0.01905137,0.01905137,Node(a4.h11),Node(m5)
m4->m5,-0.024112776,0.024112776,Node(m4),Node(m5)
a5.h5->m5,-0.02668686,0.02668686,Node(a5.h5),Node(m5)
a5.h10->m5,-0.030562043,0.030562043,Node(a5.h10),Node(m5)
a5.h12->m5,0.018561687,0.018561687,Node(a5.h12),Node(m5)
m5->a6.h0<v>,0.028443946,0.028443946,Node(m5),Node(a6.h0)
m5->a6.h12<v>,-0.021302003,0.021302003,Node(m5),Node(a6.h12)
m5->a6.h14<v>,0.018210493,0.018210493,Node(m5),Node(a6.h14)
a0.h1->m6,0.023127874,0.023127874,Node(a0.h1),Node(m6)
m0->m6,-0.051721703,0.051721703,Node(m0),Node(m6)
m1->m6,-0.04425296,0.04425296,Node(m1),Node(m6)
a4.h9->m6,-0.024519019,0.024519019,Node(a4.h9),Node(m6)
a4.h13->m6,-0.018139098,0.018139098,Node(a4.h13),Node(m6)
a5.h5->m6,0.033870455,0.033870455,Node(a5.h5),Node(m6)
a5.h11->m6,0.027358696,0.027358696,Node(a5.h11),Node(m6)
a5.h14->m6,-0.027684573,0.027684573,Node(a5.h14),Node(m6)
m5->m6,0.024560561,0.024560561,Node(m5),Node(m6)
a6.h0->m6,0.07105495,0.07105495,Node(a6.h0),Node(m6)
a6.h4->m6,-0.021179665,0.021179665,Node(a6.h4),Node(m6)
a6.h12->m6,0.032274645,0.032274645,Node(a6.h12),Node(m6)
m1->a7.h1<q>,0.02078703,0.02078703,Node(m1),Node(a7.h1)
m5->a7.h1<q>,0.024189254,0.024189254,Node(m5),Node(a7.h1)
a6.h2->a7.h12<k>,-0.019399673,0.019399673,Node(a6.h2),Node(a7.h12)
m0->m7,-0.024343085,0.024343085,Node(m0),Node(m7)
m1->m7,0.042646974,0.042646974,Node(m1),Node(m7)
m4->m7,-0.031369895,0.031369895,Node(m4),Node(m7)
a5.h3->m7,-0.033739723,0.033739723,Node(a5.h3),Node(m7)
m5->m7,0.030926052,0.030926052,Node(m5),Node(m7)
a6.h0->m7,0.03397071,0.03397071,Node(a6.h0),Node(m7)
a6.h4->m7,-0.01945775,0.01945775,Node(a6.h4),Node(m7)
m6->m7,0.018010255,0.018010255,Node(m6),Node(m7)
a7.h1->m7,0.026793648,0.026793648,Node(a7.h1),Node(m7)
a7.h3->m7,-0.024468187,0.024468187,Node(a7.h3),Node(m7)
