,score,abs_score,source,target
input->m0,-0.2018911,0.2018911,Node(input),Node(m0)
a0.h1->m0,0.27535725,0.27535725,Node(a0.h1),Node(m0)
a0.h5->m0,-0.0288351,0.0288351,Node(a0.h5),Node(m0)
a0.h7->m0,0.09188923,0.09188923,Node(a0.h7),Node(m0)
a0.h10->m0,0.15344204,0.15344204,Node(a0.h10),Node(m0)
a0.h11->m0,-0.035675753,0.035675753,Node(a0.h11),Node(m0)
a0.h15->m0,-0.06617249,0.06617249,Node(a0.h15),Node(m0)
input->a1.h2<v>,-0.034850743,0.034850743,Node(input),Node(a1.h2)
input->a1.h6<v>,-0.029961986,0.029961986,Node(input),Node(a1.h6)
input->a1.h11<v>,0.03850863,0.03850863,Node(input),Node(a1.h11)
a0.h10->a1.h3<v>,-0.030563291,0.030563291,Node(a0.h10),Node(a1.h3)
input->m1,-0.06896828,0.06896828,Node(input),Node(m1)
a0.h1->m1,0.047731213,0.047731213,Node(a0.h1),Node(m1)
m0->m1,-0.09104856,0.09104856,Node(m0),Node(m1)
a1.h12->m1,0.031905007,0.031905007,Node(a1.h12),Node(m1)
m1->a2.h3<q>,0.03003983,0.03003983,Node(m1),Node(a2.h3)
m1->a2.h5<v>,-0.02982792,0.02982792,Node(m1),Node(a2.h5)
m1->a2.h6<v>,0.02690138,0.02690138,Node(m1),Node(a2.h6)
m1->a2.h8<v>,0.033372957,0.033372957,Node(m1),Node(a2.h8)
m1->a2.h14<v>,0.034036584,0.034036584,Node(m1),Node(a2.h14)
a1.h2->m2,-0.0354516,0.0354516,Node(a1.h2),Node(m2)
a1.h14->m2,-0.041163083,0.041163083,Node(a1.h14),Node(m2)
m1->m2,0.09716644,0.09716644,Node(m1),Node(m2)
a2.h5->m2,-0.026519451,0.026519451,Node(a2.h5),Node(m2)
a2.h14->m2,0.060018998,0.060018998,Node(a2.h14),Node(m2)
a1.h4->m3,-0.048158914,0.048158914,Node(a1.h4),Node(m3)
m1->m3,-0.064543806,0.064543806,Node(m1),Node(m3)
a2.h5->m3,0.040814713,0.040814713,Node(a2.h5),Node(m3)
a2.h14->m3,0.042436045,0.042436045,Node(a2.h14),Node(m3)
m2->m3,0.07377249,0.07377249,Node(m2),Node(m3)
a3.h1->m3,-0.03765977,0.03765977,Node(a3.h1),Node(m3)
a3.h9->m3,0.048231512,0.048231512,Node(a3.h9),Node(m3)
a3.h13->m3,-0.03662136,0.03662136,Node(a3.h13),Node(m3)
m3->a4.h9<q>,0.038999088,0.038999088,Node(m3),Node(a4.h9)
m3->a4.h13<q>,0.051176053,0.051176053,Node(m3),Node(a4.h13)
m0->m4,-0.07521252,0.07521252,Node(m0),Node(m4)
m1->m4,-0.08248847,0.08248847,Node(m1),Node(m4)
m2->m4,0.036089636,0.036089636,Node(m2),Node(m4)
